Issue key,Issue id,Created,Resolved,Issue Type,Status,Priority,Due Date,Updated,Resolution,Custom field (Story Points),Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint
IBSET-706,2890054,19.08.2025 15:16,,Task,Ready for Release,Major,,25.08.2025 12:14,,,IBSET PI3:2025 Iteration 4,,,,,,
IBSET-704,2888365,18.08.2025 13:51,,Task,Ready for Release,Major,,25.08.2025 12:14,,,IBSET PI3:2025 Iteration 4,,,,,,
IBSET-671,2851051,30.06.2025 11:50,,Task,Ready for Release,Minor,,21.08.2025 00:25,,1.0,IBSET PI3:2025 Iteration 1,IBSET PI3:2025 Iteration 2,IBSET PI3:2025 Iteration 3,,,,
IBSET-633,2800928,23.05.2025 11:50,,Task,Ready for Release,Major,,26.05.2025 10:16,,1.0,IBSET PI2:2025 Sp4,,,,,,
IBSET-619,2788722,14.05.2025 15:43,,Task,Ready for Release,Major,,17.07.2025 00:55,,1.0,IBSET PI2:2025 Sp4,,,,,,
IBSET-615,2785457,12.05.2025 15:36,,Task,Ready for Release,Major,,28.05.2025 12:58,,1.0,IBSET PI2:2025 Sp2,IBSET PI2:2025 Sp3,,,,,
IBSET-582,2757469,14.04.2025 10:52,,Task,Ready for Release,Major,,28.05.2025 10:21,,3.0,IBSET PI2:2025 Sp1,IBSET PI2:2025 Sp2,IBSET PI2:2025 Sp3,IBSET PI2:2025 Sp4,,,
IBSET-574,2751454,09.04.2025 11:28,,Bug,Ready for Release,Major,,21.08.2025 00:25,,,IBSET PI2:2025 Sp1,IBSET PI2:2025 Sp2,IBSET PI2:2025 Sp3,IBSET PI3:2025 Iteration 3,,,
IBSET-553,2728713,31.03.2025 08:35,,Task,Ready for Release,Major,,28.05.2025 12:58,,3.0,IBSET PI2:2025 Sp2,IBSET PI2:2025 Sp3,,,,,
IBSET-549,2724502,26.03.2025 15:53,,Task,Backlog,Minor,,20.01.2026 12:46,,2.0,,,,,,,
IBSET-548,2724501,26.03.2025 15:51,,Task,Backlog,Minor,,20.01.2026 12:39,,2.0,,,,,,,
IBSET-547,2724294,26.03.2025 15:44,,Task,Backlog,Minor,,20.01.2026 12:38,,2.0,,,,,,,
IBSET-473,2675933,14.02.2025 13:01,,Task,On Hold,Major,,25.02.2026 10:32,,1.0,IBSET-19,IBSET-20,IBSET-21,IBSET-22,IBSET PI2:2025 Sp1,IBSET PI1:2026 Iteration2,IBSET PI1:2026 Iteration3
