Type,Key,Summary,Resolution Date,Open,Ready for Refinement,On Hold,Reopened,Investigation,Backlog,On-hold,Funnel,In Development,Ready for test,In Testing,Refined,Selected for Development,In Progress,Waiting for acceptance,Under Investigation,Done,Abandoned
,SMARTPAY-863,[ibank] file import mock page for testing batch handler open for dev,2/4/26,0.00h,,,2.17h,,,,,24.57h,268.58h,19.83h,,,,,,2014.87h,
,SMARTPAY-859,Update API end point which updates payment status and checks if response is needed,2/10/26,0.00h,18.82h,,50.55h,,,,,241.68h,78.53h,115.60h,,,,,,1867.65h,
,SMARTPAY-858,[worker-payment-batch-handler-tracker] fix data manager API call,1/21/26,0.00h,,,,,,,,0.30h,25.75h,0.62h,,,,,,2348.38h,
,SMARTPAY-864,[ibank] SmartForm Breach of Limits,1/29/26,1.88h,47.48h,,,,,,,23.70h,145.17h,5.37h,0.00h,,,,,2153.67h,
,SMARTPAY-852,s1.2 - BH-data-manager: create API to request recovery status,2/10/26,210.85h,0.97h,,,,,,,67.83h,95.82h,4.53h,146.65h,,,,,1868.03h,
Production bug,SMARTPAY-865,Unable to choose recipient from payment history,1/26/26,,68.97h,,,,1.40h,,,94.95h,,,,,,,,2230.45h,
,SMARTPAY-851,BH-data-manager: create API to initiate recovery process,2/19/26,212.57h,117.92h,,,,,,,337.12h,52.12h,121.50h,,,,,,1555.20h,
,SMARTPAY-849,DB: create table for recovery requests,2/4/26,25.33h,188.43h,,,,,,,2.68h,25.60h,116.53h,22.23h,,,,,2015.82h,
,SMARTPAY-847,BH-tracker: send not consumed messages to dead letter topic,2/6/26,91.85h,238.87h,,,,,,,173.88h,23.72h,1.87h,,,,,,1961.92h,
,SMARTPAY-846,BH-tracker: Create dead letter and retry topics for w991.flowmanager.order.status,2/6/26,91.95h,192.48h,,,,,,,220.27h,23.72h,1.72h,,,,,,1962.07h,
,SMARTPAY-845,BH-data-manager: Update API end points updating payment and batch statuses,2/5/26,0.00h,165.02h,,,,,,,271.05h,4.53h,43.67h,40.82h,,,,,1989.53h,
,SMARTPAY-844,[tracker] fix error messages in logs for tracker,1/21/26,0.00h,,,,,,,,125.13h,44.50h,2.75h,,,,,,2346.23h,
,SMARTPAY-843,[TO BE REVIEWED]Order Keytabs for Service Accounts,,2563.25h,,,,,,,,,,,,,,,,,
,SMARTPAY-935,8. Implement process to send to fraud screening payments signed in iBank,,0.53h,2564.50h,,,,,,,,,,,,,,,,
,SMARTPAY-841,Fix kafka schema for status report topic,1/13/26,0.00h,,,,,,,,116.92h,0.90h,0.27h,,,,,,2541.15h,
,SMARTPAY-839,[batch-handler-tracker] establish connection to kafka,1/20/26,0.00h,,,,,,,,148.57h,118.82h,44.27h,,,,,,2375.25h,
,SMARTPAY-838,BH-tracker: add trace id and logging for easier testing and maintenance,1/21/26,0.00h,66.62h,,,,,,,263.95h,1.03h,26.87h,,,,,,2349.02h,
,SMARTPAY-837,W712 einvoice-component from ivy to artifactory,12/29/25,0.00h,,,,,,,,0.53h,,,,,,,,2899.67h,
,SMARTPAY-836,Fixing pentest finding for SEPA,1/20/26,175.22h,,185.93h,,,,,,96.42h,47.13h,22.50h,,,,,,2377.48h,
,SMARTPAY-835,Add member to CasC,12/23/25,0.65h,,,,,,,,,,,,,,,,3044.30h,
,SMARTPAY-834,Update API end point which updates payment status and checks if response is needed,1/27/26,0.00h,524.70h,,,,,,,410.00h,0.90h,91.58h,0.00h,,,,,2209.27h,
,SMARTPAY-833,Update API updating batch and payment statuses,1/13/26,0.00h,597.98h,,,,,,,70.05h,3.62h,23.40h,,,,,,2541.50h,
,SMARTPAY-832,Recreate tracker Kafka topics to have 6 partitions,1/9/26,0.00h,524.80h,,,,,,,25.88h,2.97h,20.48h,24.27h,,,,,2638.45h,
,SMARTPAY-831,DB: updates to payment and fraud_screening tables,1/7/26,532.12h,0.00h,,,,,,,0.72h,0.83h,22.15h,0.12h,,,,,2684.20h,
,SMARTPAY-830,Domestic (iBank and STAR) regression testing on Skyvault in LV [15.12-17.12],12/17/25,17.70h,0.00h,,,,,,,,0.00h,50.37h,74.13h,,,,,3187.98h,
,SMARTPAY-829,Create API end point to get payments grouped by their reporting status,1/13/26,0.02h,790.33h,,,,,,,3.12h,1.87h,1.47h,,,,,,2536.90h,
,SMARTPAY-828,Create API end point to get batch data,1/17/26,0.00h,769.30h,,,,,,,19.17h,0.38h,102.52h,,,,,,2442.40h,
Production bug,SMARTPAY-826,LT iBank: Customer without regno cannot make payment to List A account,1/12/26,0.00h,17.77h,,,0.22h,,,,1004.92h,2.18h,97.85h,,,,,,2566.20h,
,SMARTPAY-825,Add additional information (Originator_User_Id) to DWH views.,12/4/25,0.75h,,,,,,,,24.17h,168.87h,1.87h,,,,,,3503.05h,
Production bug,SMARTPAY-823,Unsupported type of object: com.swedbank.notification.api.event.NotificationEvent,12/11/25,9.20h,1.88h,,,23.72h,,,,139.35h,122.63h,84.72h,69.95h,,,,,3365.77h,
,SMARTPAY-812,Pentest for W668 and W871,12/30/25,17.03h,,,,,,,,0.00h,0.00h,956.10h,,,,,,2881.97h,
,SMARTPAY-816,SIAM entitlements - user groups,,782.40h,,,,3072.92h,,,,,,,,,,,,,
,SMARTPAY-813,Service accounts,3/18/26,781.87h,,1483.37h,,582.83h,,,,0.00h,,,,,,,,1007.30h,
,SMARTPAY-818,[TO BE REVIEWED]Security policies,,782.67h,,,,3072.75h,,,,,,,,,,,,,
,SMARTPAY-817,FW rules for prod,,782.67h,,2491.27h,,581.52h,,,,0.00h,,,,,,,,,
,SMARTPAY-814,KAFKA topics move from APPLICATIONS folder in SNAP/SP,1/15/26,782.52h,,,,581.65h,,,,0.07h,,,,,,,,2491.28h,
,SMARTPAY-820,[TO BE REVIEWED]IP Network Groups,,783.20h,,642.27h,,581.05h,,,,1849.07h,,,,,,,,,
,SMARTPAY-889,[TO BE REVIEWED]**Application** KAFKA topic installations -for core application,,782.68h,,,,3073.02h,,,,,,,,,,,,,
,SMARTPAY-861,[ibank]Enter key input in smartform should not cause a page refresh,1/7/26,,,,,,622.32h,,,,,,,648.25h,23.43h,,,2684.60h,
,SMARTPAY-862,[Ibank]Automation scenarios for Temporary blocking of instant payments,1/15/26,,,,,,622.45h,,,,,,,790.08h,75.50h,,,2490.62h,
,SMARTPAY-860,[iBank]Overwriting payment details in salary payment from list of payments makes payment deletion not possible,,,,,,,622.50h,,,987.17h,,,1367.87h,791.82h,209.35h,,,,
,SMARTPAY-857,[ibank]LV issue with beneficiary residence country and payment balance code,,,,2375.67h,,,622.40h,188.73h,,,,,,671.73h,120.17h,,,,
,SMARTPAY-856,[ibank]Missing currency in List of Payments,,20.82h,30.23h,,,,622.25h,,,,,,2324.63h,980.82h,,,,,
,SMARTPAY-855,[ibank] Mass payment form - Beneficary ID is not saved,,20.85h,30.27h,,,,622.57h,,,,,,2324.63h,980.45h,,,,,
,SMARTPAY-854,[ibank] archived payments can't open,,,,,,,623.08h,,,1007.92h,,,1367.87h,865.63h,114.80h,,,,
,SMARTPAY-853,"[ibank]Instant payment warning message is not showed when exceeded instant, daily and monthly payment limits",,,,,,,622.80h,,,1007.95h,,,1367.87h,792.83h,187.87h,,,,
,SMARTPAY-789,[iBank] Adjust logic for handling response from PLS when double accept and instant payment limits are exceeded,11/25/25,146.45h,,,,,,,,27.35h,0.17h,96.82h,,,,,,3713.92h,
