Type,Key,Summary,Resolution Date,Open,Ready for Refinement,On Hold,Reopened,Investigation,Backlog,On-hold,Funnel,In Development,Ready for test,In Testing,Refined,Selected for Development,In Progress,Waiting for acceptance,Under Investigation,Done,Abandoned
Test,SMARTPAY-73,SEPA cross-border standing order beneficiary and payer name limit is 70,4/30/24,195.82h,,,,,,,,,,,,,,,,17493.57h,
Test,SMARTPAY-72,SEPA domestic standing order beneficiary and payer name limit is 70,4/30/24,195.65h,,,,,,,,,,,,,,,,17493.75h,
Test,SMARTPAY-71,SEPA intragroup payment beneficiary and payer name limit is 70,4/30/24,195.55h,,,,,,,,,,,,,,,,17493.97h,
Test,SMARTPAY-70,SEPA cross-border payment beneficiary and payer name limit is 70,4/30/24,195.58h,,,,,,,,,,,,,,,,17493.95h,
Test,SMARTPAY-69,SEPA domestic payment beneficiary and payer name limit is 70,4/30/24,195.45h,,,,,,,,,,,,,,,,17494.13h,
,SMARTPAY-68,STAR - Predefined foreign payment - Beneficiary bank unstructured address country,7/8/24,0.08h,0.00h,,,,,,,118.38h,939.00h,72.28h,842.78h,,,,,15836.80h,
,SMARTPAY-67,SGW pain.001 - Beneficiary bank unstructured address country,5/21/24,0.57h,0.00h,,,,,,,,,,821.68h,,,,,,16987.92h
Production bug,SMARTPAY-271,4 or 3 action buttons after concluding defined payment,7/12/24,0.00h,1821.33h,,0.07h,,,,,192.32h,78.28h,90.32h,0.37h,,,,,15743.75h,
,SMARTPAY-331,DB: create views for defined payments,1/24/25,2930.23h,722.80h,,,,,,,1130.65h,845.05h,259.83h,1000.40h,,,,,11039.95h,
,SMARTPAY-48,Change functionality of the Manual Sending - create additional groups,4/24/24,0.00h,0.00h,,,,,,,76.70h,194.00h,23.87h,0.00h,,,,,17634.97h,
,SMARTPAY-334,DB: create script to migrate defined payments to new storage,1/13/25,2906.45h,795.23h,,,,,,,339.27h,215.65h,629.37h,1743.82h,,,,,11299.80h,
,SMARTPAY-332,DB: create tables for storing defined payments data,10/30/24,2906.57h,795.23h,,,,,,,697.22h,360.30h,0.00h,113.58h,,,,,13104.82h,
,SMARTPAY-47,"[DB] Add grants for VM.SR_BANK_RESTRICTION, change tr$sr_bank_restriction_biu trigger",4/4/24,0.93h,0.00h,,,,,,,5.17h,20.77h,0.00h,0.00h,,,,,18119.95h,
,SMARTPAY-46,UX - Design change in manual messages menus,4/23/24,19.92h,189.65h,,,,,,,410.05h,3.40h,26.02h,0.00h,,,,,17658.85h,
Spike,SMARTPAY-43,Investigate and create solution for defined payments storage,4/5/24,21.17h,,,,,,,,,,,,,,,407.43h,18097.63h,
Production bug,SMARTPAY-44,IBANK business user can't save defined mass(salary) payment,7/23/24,0.00h,70.70h,,64.53h,213.28h,,,,420.98h,300.10h,151.05h,1777.72h,,,,,15480.05h,0.00h
Production bug,SMARTPAY-42,An error occurs when importing orders. ServiceException: java.io.FileNotFoundException.,3/25/24,0.00h,68.92h,,,23.80h,,,,1.02h,54.63h,94.97h,0.00h,,,,,18354.62h,
,SMARTPAY-41,Testing the resting functionality,4/24/24,503.83h,0.00h,,,,,,,,101.05h,384.17h,0.00h,,,,,17634.53h,
,SMARTPAY-40,Testing available functionality,4/8/24,287.15h,0.00h,,,,,,,,6.05h,311.68h,0.00h,,,,,18018.72h,
,SMARTPAY-408,Cleanup after go live - DB,2/24/25,0.40h,6335.33h,,,0.00h,,,,330.18h,596.92h,269.47h,770.08h,,,,,10291.28h,
,SMARTPAY-64,iBank - Beneficiary bank unstructured address country validation in lists,7/5/24,0.00h,833.10h,,0.00h,0.97h,,,,616.53h,145.87h,416.28h,719.93h,,,,,15910.15h,
Production bug,SMARTPAY-37,[Forms] SEPA payment processing history does not show status names for some payments,3/22/24,0.05h,94.15h,,,121.30h,,,,42.60h,70.52h,97.83h,0.00h,,,,,18432.73h,
Spike,SMARTPAY-34,Investigation regarding fx rates - DB side,3/22/24,0.07h,0.00h,,,3.25h,,,,0.68h,,,0.00h,,,,209.00h,18647.93h,0.23h
Production bug,SMARTPAY-267,[payment-services-discovery] Vulnerabilities,8/26/24,24.47h,0.00h,,,52.07h,,,,260.85h,0.00h,0.00h,3818.68h,,,,,14662.22h,
,SMARTPAY-112,IBANK user can't sign payments from payments list,6/21/24,97.15h,116.70h,,,2206.98h,,,,76.77h,68.42h,100.15h,0.00h,,,,,16243.62h,21.45h
Production bug,SMARTPAY-33,EPE error - error code [1086]; ORA-01086: savepoint 'LAST_PAYMENT' never established,3/6/24,0.68h,0.00h,,,,,,,3.57h,121.55h,0.00h,0.00h,,,,,18811.12h,
,SMARTPAY-62,DB STAR changes,9/4/24,0.00h,837.32h,,,308.83h,,,,1290.72h,339.23h,218.63h,1563.80h,,,,,14444.52h,
,SMARTPAY-61,STAR - Authorize FPO - Beneficiary bank unstructured address country,7/10/24,0.00h,1048.95h,,,99.07h,,,,1.10h,1052.78h,4.08h,961.45h,,,,,15789.78h,
,SMARTPAY-60,STAR - Foreign standing order - Beneficiary bank unstructured address country,7/10/24,19.72h,834.23h,,,317.80h,,,,0.08h,1033.68h,20.52h,961.07h,,,,,15793.87h,
,SMARTPAY-59,STAR - Foreign payment - Beneficiary bank unstructured address country,7/9/24,0.60h,834.20h,,,336.92h,,,,0.08h,1011.30h,22.38h,961.08h,,,,,15814.40h,
,SMARTPAY-58,iBank LV Fidavista - Beneficiary bank unstructured address country,6/3/24,0.02h,833.70h,,,338.98h,,,,120.65h,187.12h,120.17h,700.60h,,,,,16680.73h,
,SMARTPAY-57,iBank pain.001 - Beneficiary bank unstructured address country,7/4/24,0.05h,833.63h,,17.88h,339.93h,,,,365.82h,501.88h,630.17h,360.23h,,,,,15933.30h,
,SMARTPAY-56,iBank - Foreign standing order - Beneficiary bank unstructured address country,6/7/24,0.02h,834.13h,,71.10h,340.10h,,,,388.38h,100.57h,171.05h,503.00h,,,,,16575.17h,
,SMARTPAY-30,STAR: show message that double customer identification is needed for Standing order 2,3/7/24,4.42h,0.00h,,1.00h,19.45h,,,,6.83h,25.18h,140.70h,0.00h,,,,,18787.17h,
,SMARTPAY-53,"STAR - SEPA payment name length check (Beneficiary name, Ultimate payer/ beneficiary name)",5/2/24,0.00h,1226.10h,,,39.70h,,,,95.27h,69.62h,174.70h,0.00h,,,,,17444.50h,
,SMARTPAY-55,iBank - International payment - Beneficiary bank unstructured address country,6/6/24,0.00h,834.13h,,25.80h,387.55h,,,,352.82h,294.78h,140.18h,386.17h,,,,,16609.52h,
,SMARTPAY-54,Create new sysglobal,4/25/24,0.00h,833.33h,,,389.07h,,,,3.03h,124.03h,17.15h,48.47h,,,,,17617.62h,
Production bug,SMARTPAY-38,[iBank] For client not possible to remove from ibank FAILED imported mass payment files,3/21/24,0.00h,408.27h,,,,,,,148.28h,111.45h,55.83h,3.98h,,,,,18449.60h,
,SMARTPAY-28,[DB] new field CREBIT.DP.RISK_SCREENING_STATUS,3/8/24,0.00h,1.22h,,,,,,,197.48h,140.47h,73.62h,18.10h,,,,,18764.77h,
,SMARTPAY-27,[STAR EE] Incorrect data in FSO agreement PDF,2/28/24,0.08h,19.83h,,,103.00h,,,,144.82h,39.78h,4.92h,0.00h,,,,,18980.87h,
,SMARTPAY-25,[DB] Implement transaction double authorization limit check for Foreign standing order,2/21/24,72.02h,0.00h,,,,,,,47.05h,1.30h,167.22h,0.00h,,,,,19149.52h,
Production bug,SMARTPAY-39,[EPE] ee.hansa.bank.agreements.teleagreements.TeleAgreementException: noSuchTeleAgreementAccount,3/26/24,0.20h,813.93h,,,,,,,122.35h,46.33h,101.38h,22.80h,,,,,18331.35h,
,SMARTPAY-24,[STAR] Create star dualityLimits service,2/8/24,17.77h,0.00h,,,0.33h,,,,,,,,,,,,19463.37h,
,SMARTPAY-76,"[DB] STAR - Authorize foreign payment order (SEPCO, EKSCO, SEPGO)",5/23/24,1.62h,1481.35h,,,21.95h,,,,199.55h,112.92h,54.08h,214.55h,,,,,16941.02h,503.23h
,SMARTPAY-52,"STAR PDF - Outgoing payment (SEPCO, EKSCO, SEPGO)",5/13/24,1.50h,1792.27h,,,0.23h,,,,239.92h,0.32h,244.28h,0.00h,,,,,17182.28h,
Production bug,SMARTPAY-23,[ibank]Add more info in logs SmartForm CorporatePaymentException:invalidAction,1/2/25,7632.97h,22.65h,,,,,,,314.03h,0.00h,0.00h,0.00h,,,,,11567.35h,
Spike,SMARTPAY-15,[2 versions] investigate keep 2 versions,7/18/24,823.02h,0.00h,,,0.13h,,,,0.03h,,,0.00h,,,,46.47h,18810.52h,0.12h
Production bug,SMARTPAY-8,error ee.hansa.bank.payments.CorporatePaymentException:invalid Action.,2/5/24,0.08h,91.45h,,,93.12h,,,,4.55h,0.93h,1.57h,67.57h,,,,,19534.58h,
,SMARTPAY-51,"STAR - Print transactions (SEPCO, EKSCO, SEPGO)",5/17/24,2.68h,1531.78h,,64.30h,480.10h,,,,167.93h,4.80h,358.67h,91.40h,,,,,17068.12h,
,SMARTPAY-13,TEST - Create/view/process technical exceptions for cross-border and intragroup SEPA payments in manual messages,4/25/24,239.48h,1412.47h,,,,,,,,0.00h,500.38h,168.27h,,,,,17619.42h,
,SMARTPAY-12,Functionality - Change functionality of the manually triggered functions in Tools - Manual Sending,4/4/24,932.82h,0.00h,,,,,,,431.83h,26.52h,0.05h,430.68h,,,,,18119.88h,
,SMARTPAY-14,"UX - Change functions names, comments, buttons and grouping for RT1 / STEP2 flows in Tools - Manual Sending",4/3/24,241.70h,68.20h,,328.07h,,,,,778.22h,117.55h,7.33h,262.70h,,,,,18138.45h,
,SMARTPAY-50,"STAR PDF LV - Incoming international payment (SEPCI, EKSCI, SEPGI)",6/7/24,0.00h,1911.53h,,82.82h,359.63h,,,,217.50h,363.95h,184.35h,242.80h,,,,,16574.98h,
,SMARTPAY-49,"STAR - Incoming international payments (SEPCI, EKSCI, SEPGI)",6/7/24,0.05h,1504.50h,,109.53h,863.53h,,,,402.02h,122.18h,248.18h,185.83h,,,,,16574.42h,
Production bug,SMARTPAY-10,"iBank: change ""Beneficiery's type"" field's index order on Domestic Payment confirmation page",2/2/24,144.45h,0.00h,,167.85h,0.00h,,,,21.85h,70.52h,1.42h,0.00h,,,,,19607.27h,
,SMARTPAY-127,New OP ID setup,8/27/24,4566.18h,92.25h,,,,,,,166.63h,753.02h,697.10h,67.65h,,,,,14633.47h,
Production bug,SMARTPAY-11,[iBank] Mass Payment layout - table issue,5/2/24,0.05h,887.60h,,115.28h,,,,,1364.85h,349.55h,227.48h,631.23h,,,,,17447.28h,
,SMARTPAY-22,STAR: show message that double transaction authorisation is needed for Foreign payment,2/5/24,1458.65h,193.95h,,,,,,,3.73h,67.92h,7.57h,22.20h,,,,,19529.90h,
,SMARTPAY-16,STAR: show message that double customer identification is needed for Foreign payment,2/19/24,1895.05h,193.92h,,0.07h,,,,,103.47h,96.72h,138.67h,93.82h,,,,,19198.58h,
,SMARTPAY-21,STAR: show message that double customer identification is needed for Standing order,2/13/24,1895.08h,193.88h,,,,,,,143.95h,92.65h,25.23h,28.55h,,,,,19341.00h,
,SMARTPAY-20,STAR: implement transaction double authorization based on total amount for standing orders,2/28/24,67.03h,2089.27h,,,,,,,4.70h,193.02h,96.85h,333.57h,,,18.55h,,18984.70h,
,SMARTPAY-45,Payment crediting issue on daylight saving time night,11/14/25,30.02h,6189.30h,,,,,,,478.82h,716.17h,91.05h,341.40h,,,,,13968.73h,
,SMARTPAY-19,STAR: implement transaction double authorization limit check for Foreign standing order,2/28/24,139.30h,2041.15h,,17.88h,,,,,236.60h,23.63h,173.40h,173.62h,,,21.63h,,18984.75h,
,SMARTPAY-17,STAR: implement transaction double authorization limit check for Domestic standing order,2/26/24,139.40h,2089.10h,,,,,,,194.43h,99.53h,170.00h,142.17h,,,,,19025.43h,
,SMARTPAY-18,DB: create limits for SOA and foreign payments double customer identification and double authorization,2/12/24,576.55h,1674.57h,,,,,,,100.43h,67.32h,4.58h,71.78h,,,,,19364.98h,
,SMARTPAY-26,Create alternative way to upload/download encrypted files from SFEc server manually,2/13/24,0.00h,0.00h,,,700.35h,,,,622.43h,1461.08h,19.37h,0.00h,,,,,19346.05h,
,SMARTPAY-270,Investigate back-up testing options for of W670 and W668,11/13/24,0.12h,23.22h,,,3362.97h,1.83h,,,,,,530.60h,,11730.85h,,,12766.10h,
,SMARTPAY-9,[iBank] Smart payment form UI changes,2/6/24,8733.50h,0.00h,,273.85h,18.18h,,,,1004.57h,158.43h,107.38h,407.15h,,,,,19507.53h,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
