Type,Key,Summary,Resolution Date,Open,Ready for Refinement,Investigation,Reopened,On Hold,Backlog,To Do,Refined,In Development,Ready for test,In Testing,In Progress,Waiting for acceptance,Done,Abandoned,,,
,EASYPAY-966,[DB] Create SEQ for SID and GROUP_SID for table VM.SEPA_PAYMENT_PARTY_IDENTIFIER,6/13/25,0.00h,1078.95h,,,,,,6.57h,17.15h,0.33h,4.60h,,,7677.98h,,,,
,EASYPAY-964,[DB] Testing >> Add rights to new VM.SEPA_PAYMENT_PARTY_IDENTIFIER,6/23/25,0.17h,1079.83h,,0.17h,,,,0.00h,67.45h,7.68h,189.20h,,,7442.20h,,,,
,EASYPAY-963,[core-payment-order-data-manager] store/update single payment order (party ID),9/23/25,598.08h,362.88h,955.02h,,,,,0.00h,94.00h,1443.43h,166.33h,,,5230.98h,,,,
,EASYPAY-958,[DB] Change GDW payment data loading interface,8/27/25,70.88h,1056.03h,383.05h,288.37h,,,,313.62h,120.85h,503.92h,236.20h,,,5882.35h,,,,
,EASYPAY-957,[DB] Create archiving processes for VM.SEPA_PAYMENT_PARTY_IDENTIFIER,6/20/25,69.53h,864.35h,,,,,,238.53h,145.80h,0.00h,28.52h,,,7508.58h,,,,
,EASYPAY-956,[DB] create FK's for VM.SEPA_PAYMENT_PARTY_IDENTIFIER in surrounding tables,6/13/25,69.33h,864.52h,,,,,,189.03h,32.23h,17.45h,5.77h,,,7677.02h,,,,
,EASYPAY-955,[DB] Create DB table VM.SEPA_PAYMENT_PARTY_IDENTIFIER,6/12/25,69.60h,864.27h,,,,,,2.48h,186.62h,1.92h,28.80h,,,7701.78h,,,,
,EASYPAY-954,PDF generation E-invoice page Manual payment - PDF throws error on Conlcude agreement,4/29/25,0.03h,89.77h,,,,,,3.53h,,0.02h,21.92h,,,8761.00h,,,,
,EASYPAY-1176,New SEPA countries as of October 5th 2025,9/24/25,0.02h,3360.77h,,,,,,143.70h,21.50h,97.08h,47.70h,,,5210.28h,,,,
,EASYPAY-950,Send payments for processing,7/1/25,0.05h,22.58h,,,,,,1110.75h,527.02h,0.00h,0.00h,,,7244.98h,,,,
,EASYPAY-947,RT1 pacs.008 changes (IDs),6/16/25,0.00h,,1442.27h,,,,,,,,,,,,7603.20h,,,
Production bug,EASYPAY-945,[DB] Change comment for E-invoice table EINVOICES.SELLER_DESTINATION.DESTINATION_STATUS,4/17/25,0.10h,0.78h,,,,,,0.02h,1.03h,0.12h,5.10h,,,9043.97h,,,,
,EASYPAY-942,Store information about batch being a mass payment,4/17/25,0.00h,23.52h,,,,,,0.00h,0.10h,0.00h,0.00h,,,9050.20h,,,,
,EASYPAY-941,STEP2 camt.087 changes,6/2/25,0.05h,15.97h,23.95h,,,,,311.93h,193.45h,167.33h,437.68h,,,7939.88h,,,,
,EASYPAY-940,STEP2 camt.027 changes,6/2/25,0.07h,16.22h,26.10h,,,,,454.05h,51.37h,167.30h,437.70h,,,7939.88h,,,,
,EASYPAY-939,Implement possibility for BpayStream app to use Account API,4/23/25,1.07h,0.58h,,,,,,0.97h,,16.17h,194.50h,,,8904.72h,,,,
,EASYPAY-938,Update batch and payment statuses after validation and payment initiation,9/24/25,236.60h,0.00h,,,,,,3532.67h,145.52h,0.00h,0.00h,,,5204.53h,,,,
,EASYPAY-937,allow access to db table for bpay_stream_app user,4/14/25,0.02h,0.00h,,,,,,0.00h,0.97h,0.07h,66.75h,,,9123.58h,,,,
,EASYPAY-935,STEP2 pacs.028 changes,6/2/25,0.00h,16.40h,143.87h,,,,,459.88h,45.55h,167.30h,437.70h,,,7939.88h,,,,
,EASYPAY-934,STEP2 pacs.004 changes,6/2/25,0.05h,18.13h,142.13h,,,,,505.47h,,167.28h,437.72h,,,7939.88h,,,,
,EASYPAY-933,STEP2 camt.029 changes,6/2/25,0.00h,16.57h,143.85h,,,,,456.15h,49.30h,167.30h,437.72h,,,7939.87h,,,,
,EASYPAY-932,STEP2 camt.056 changes,6/2/25,0.00h,17.80h,144.45h,,,,,459.78h,45.67h,167.30h,437.73h,,,7939.87h,,,,
,EASYPAY-931,Change debtorAccountNumber value for BpayStream event,4/14/25,0.32h,17.92h,,,,,,0.02h,,0.02h,70.95h,,,9123.58h,,,,
,EASYPAY-930,STEP2 pacs.002 changes,6/2/25,0.00h,157.62h,5.27h,,,,,505.50h,,167.27h,437.73h,,,7939.87h,,,,
,EASYPAY-928,[payment-services] Increase Persistent Volume Claim (PVC) sizes on payment services,7/14/25,2304.13h,,,,,,,,,,,,,,6938.48h,,,
,EASYPAY-901,Ibank [Einvoice]: tech error if importing einvoice file,4/7/25,0.00h,70.55h,,,,,,0.00h,,1.73h,0.28h,,,9287.55h,,,,
,EASYPAY-899,Validate batch,4/16/25,0.12h,120.53h,,,,,,137.92h,48.40h,0.00h,0.00h,,,9074.82h,,,,
,EASYPAY-916,STEP2 pacs.008 changes,6/2/25,0.27h,21.00h,359.30h,,,,,505.52h,,167.25h,437.75h,,,7939.87h,,,,
,EASYPAY-915,[DB] Create new DB procedure to execute saved non-SEPA Cross Border payments,6/4/25,748.88h,163.15h,,,,,,339.57h,261.85h,23.68h,0.60h,,,7896.83h,,,,
,EASYPAY-909,[DB] Create new DB procedure to validate non-SEPA Cross Border payments,6/4/25,748.97h,163.10h,,,,,,71.67h,267.93h,288.72h,0.00h,,,7894.28h,,,,
,EASYPAY-894,Create API to update payment status,4/29/25,0.07h,568.28h,,,,,,1.22h,119.08h,0.00h,0.00h,,,8762.50h,,,,
,EASYPAY-904,5. Publish fraud screening update to FLM for fully accepted batches,,4629.75h,3932.45h,,,,,,0.00h,363.82h,525.20h,,,,,,,,
,EASYPAY-906,6. Send payment order data to fraud screening,12/9/25,3786.00h,647.22h,,,,,,1134.82h,501.93h,0.00h,0.00h,,,3381.32h,,,,
,EASYPAY-907,5. Collect payment order data for fraud screening,12/1/25,2562.90h,1870.27h,,,,,,1082.23h,358.67h,0.00h,0.00h,,,3577.27h,,,,
,EASYPAY-903,1. Create API to provide list of payments belonging to batch,6/11/25,189.12h,164.77h,,121.00h,,,,0.88h,534.20h,668.23h,43.97h,,,7730.18h,,,,
,EASYPAY-905,2. Create API to update fraud screening request,6/10/25,910.45h,90.80h,47.92h,,,,,,0.00h,48.68h,594.17h,10.37h,,,,7750.13h,,
,EASYPAY-902,2. Create Kafka topic for payment action update,12/18/25,4632.07h,1440.83h,,,,,,,18.25h,173.82h,1.68h,18.83h,,,,3168.13h,,
,EASYPAY-895,[CORE DB] fixes to OP_ID configuration,4/7/25,0.20h,20.53h,,23.53h,,,,,0.00h,4.38h,114.93h,0.08h,,,,9290.48h,,
,EASYPAY-1283,iBank: remove not used pages,2/9/26,4873.25h,1052.47h,268.13h,,,,,,0.10h,367.52h,391.33h,270.30h,,,,2161.32h,,
,EASYPAY-892,[ibank] Issue in PDF printout of outgoing return,4/1/25,0.22h,0.00h,,,,,,,18.10h,75.68h,0.10h,20.03h,,,,9433.55h,,
,EASYPAY-922,Create sysglobal SEPA_RB_2025_START,4/10/25,0.00h,286.70h,,,,,,,41.35h,1.40h,0.10h,3.38h,,,,9215.12h,,
,EASYPAY-891,[CORE DB] update crebit.op_param.teenuse_kood where op_id = 6LV,3/28/25,0.00h,19.43h,,,,,,,0.00h,0.38h,19.23h,0.00h,,,,9530.45h,,
,EASYPAY-890,Investigation for: Instant payments got cancelled with 'Account locked',3/31/25,0.00h,0.00h,,,,,,,0.00h,0.93h,49.00h,69.92h,,,,9457.27h,,
,EASYPAY-889,Instant payments got cancelled with 'Account locked',5/14/25,0.00h,19.15h,,819.75h,,,,,21.53h,194.58h,91.20h,53.67h,,,,8396.75h,,
,EASYPAY-920,RT1 pacs.028 changes,5/15/25,0.00h,14.90h,,551.62h,,,,,290.85h,1.13h,213.27h,174.05h,,,,8371.20h,,
,EASYPAY-918,RT1 pacs.004 changes,5/14/25,0.02h,14.88h,,551.62h,,,,,288.40h,2.47h,142.03h,222.60h,,,,8395.03h,,
,EASYPAY-917,RT1 camt.029 changes,5/14/25,0.05h,14.87h,,551.62h,,,,,293.72h,,211.80h,149.90h,,,,8395.13h,,
,EASYPAY-924,RT1 camt.056 changes,5/16/25,0.03h,14.82h,,551.70h,,,,,292.08h,1.57h,139.45h,266.18h,,,,8351.30h,,
,EASYPAY-919,RT1 pacs.002 changes,5/15/25,0.00h,299.72h,,267.93h,,,,,264.30h,22.88h,6.22h,379.22h,,,,8378.02h,,
,EASYPAY-921,RT1 pacs.008 changes,5/12/25,0.00h,14.65h,136.63h,555.70h,,,,,287.32h,31.08h,6.53h,139.15h,,,,8450.02h,,
,EASYPAY-910,[payment-services] Create API endpoint to execute saved non-SEPA Cross Border payments,4/28/25,405.85h,,,504.75h,,,,,,,,,,,,,8783.97h,
,EASYPAY-913,"[payment-services] Create RPC endpoint to execute saved instant/normal SEPA, Intrabanks and Cross border payments",10/1/25,405.85h,256.95h,,509.33h,,,,,1467.98h,25.28h,1319.77h,668.40h,,,,5040.95h,,
,EASYPAY-914,[payment-services] Create API endpoint to validate non-SEPA Cross Border payments,4/28/25,405.75h,,,504.82h,,,,,,,,,,,,,8784.02h,
,EASYPAY-911,"[payment-services] Create RPC endpoint to validate and enrich instant/normal SEPA, Intrabanks and Cross border payments",11/26/25,405.75h,256.88h,,509.45h,,,,,1.35h,1268.15h,2473.17h,1034.77h,,,,3697.03h,,
,EASYPAY-912,[payment-services] Create RPC endpoint to decide on priority and out channel code,9/29/25,405.77h,616.90h,,245.72h,,,,,1154.37h,217.40h,1816.68h,83.17h,,,,5082.57h,,
Production bug,EASYPAY-887,[DB] SOP created with wrong conditions (LV only),3/26/25,0.30h,89.18h,,,,,,,3.40h,0.28h,44.40h,0.78h,,,,9576.73h,,
,EASYPAY-886,[DB] Fix StsId formation in payment_load_simulation for performance testing,3/20/25,0.00h,0.00h,,,,,,,0.00h,44.62h,0.00h,0.28h,,,,9720.78h,,
,EASYPAY-885,DB: Create new file types in Filebarn,4/16/25,386.77h,2.27h,,,,,,,0.00h,161.72h,0.75h,146.35h,,,,9071.43h,,
,EASYPAY-908,create a wrapper for currency conversion using ECB rates,8/28/25,507.62h,1749.97h,,,,,,,482.68h,23.25h,1129.72h,19.77h,,,,5856.37h,,
,EASYPAY-923,(Test) RT1 admi.004 - Unavailability impact on related Addressable PSPs is stored,4/10/25,0.22h,531.70h,,,,,,,0.00h,,42.72h,0.45h,,,,9218.18h,,
,EASYPAY-883,Batch handler: test file parsing and sending payments to FLM,2/13/26,5154.02h,1392.92h,,,,,,,268.70h,,0.00h,1272.85h,,,,1795.83h,,
,EASYPAY-882,Batch handler: test file receiving and validating,1/26/26,0.02h,6547.07h,,,,,,,167.83h,,0.00h,941.33h,,,,2228.22h,,
,EASYPAY-877,[TESTING] VAT rate change for E-Invoice // Estonia,4/25/25,4.30h,838.83h,,,,,,,0.00h,,138.70h,267.60h,,,,8854.97h,,
,EASYPAY-876,[DB] Change VAT rate for E-Invoice in crebit.vat_rules // Estonia,4/25/25,0.82h,842.42h,,1.17h,,,,,42.73h,28.08h,67.87h,266.60h,,,,8855.98h,,
,EASYPAY-874,Create API to update batch status,4/14/25,665.93h,0.00h,,,,,,,0.00h,406.17h,0.00h,0.00h,,,,9123.33h,,
,EASYPAY-1028,Create API to update batch and file status,6/16/25,2350.53h,0.00h,,,,,,,0.00h,125.18h,41.87h,78.72h,,,,7604.25h,,
,EASYPAY-873,[ISO Exchange] Transaction for correspondent account balance fails,3/13/25,14.78h,1.48h,,,,,,,0.15h,73.78h,73.85h,165.88h,,,,9888.15h,,
Production bug,EASYPAY-872,Client cannot make payment between own accounts due to name error,2/26/25,0.00h,17.43h,,,,,,,4.88h,,0.00h,0.00h,,,,10244.50h,,
Production bug,EASYPAY-870,[ISO Exchange] Transaction for correspondent account balance fails,2/28/25,0.02h,0.17h,,,,,,,66.55h,2.77h,27.18h,65.33h,,,,10202.12h,,
Production bug,EASYPAY-871,[IBANK] Business clients are unable to make payment more that 10 000 'between my accounts' option,2/25/25,67.02h,25.00h,,,,,,,1.03h,0.85h,0.87h,2.50h,,,,10267.48h,,
,EASYPAY-868,access to DB role to monitor changes made in sys_global parameter,2/25/25,0.00h,0.67h,,,,,,,0.00h,35.85h,22.18h,0.55h,,,,10376.72h,,
Production bug,EASYPAY-867,[EPE] Payment file read timeout SocketTimeoutException: Read timed out,2/13/25,0.00h,19.32h,,,,,,,0.28h,0.47h,23.78h,4.23h,,,,10557.52h,,
,PAYME-1024,"[Waits E-2-E testing, currently on hold] Save API data to database",3/14/25,215.08h,0.00h,214.27h,,,,,,0.00h,284.07h,27.25h,0.35h,,,,9865.13h,,
,EASYPAY-865,[IBANK] View TPH incoming payment details - TEST,3/26/25,0.05h,360.20h,,,,,,,190.63h,,151.33h,330.68h,,,,9575.77h,,
,EASYPAY-864,Create API for checking if payment file is not duplicate,3/14/25,24.48h,546.28h,,,,,,,0.37h,27.85h,164.33h,0.00h,,,,9865.13h,,
,EASYPAY-860,[DB] Select grants for iso/party tables,2/12/25,0.00h,2.22h,,,,,,,0.00h,1.10h,66.45h,53.62h,,,,10579.22h,,
,EASYPAY-869,"[CORE DB] add to DP archiving process tables PAYMENTS.PAYMENT_REFERENCE, PAYMENTS.PAYMENT_PARTY_IDENTIFIER AND PAYMENTS.ISO_AGENT",3/11/25,338.62h,0.00h,,,,,,,0.05h,191.58h,88.95h,174.78h,,,,9931.10h,,
,EASYPAY-859,[DB]: Change trigger of crebit.ko_ema to shorten user name of LAST_MODIFIED_BY,3/12/25,0.17h,0.00h,,,,,,,838.43h,,,,,,,,9909.22h,
,EASYPAY-858,[DB] include TPH payments into DB procedure,2/12/25,0.00h,0.73h,,,,,,,0.00h,5.93h,43.13h,127.15h,,,,10579.22h,,
,EASYPAY-851,"[DB] include TPH payments into DB view, procedure",2/27/25,160.25h,6.30h,,,,,,,48.35h,256.02h,7.92h,233.43h,,,,10225.85h,,
,EASYPAY-850,"[DB] include TPH payments into DB view, procedure",2/27/25,160.27h,6.30h,,,,,,,49.60h,254.77h,7.92h,233.43h,,,,10225.85h,,
,EASYPAY-822,Create core-payment-batch-handler-data-manager application,2/6/25,93.97h,21.42h,,,,,,,21.97h,167.72h,0.00h,0.00h,,,,10729.95h,,
,EASYPAY-856,[CORE DB] Add uniqueness constraint to PAYMENTS.PAYMENT_REFERENCE: combination of 'code' + 'ref number',2/10/25,102.83h,14.83h,,,,,,,4.75h,22.93h,258.33h,0.55h,,,,10632.97h,,
,EASYPAY-857,[CORE DB] Changes in DB. Add new fields to DP table,2/13/25,124.22h,14.82h,,,,,,,22.53h,125.35h,141.05h,69.68h,,,,10560.92h,,
,EASYPAY-1196,Remove 15 000 EUR limit for SEPA SCT Inst,8/21/25,2.97h,5035.10h,,0.00h,,,,,,,,,,,,,6025.38h,
,EASYPAY-900,Create API to store payment information,4/23/25,1554.75h,289.87h,,,,,,,186.40h,169.65h,0.00h,0.00h,,,,8905.20h,,
,EASYPAY-888,Create API to store batch information,3/27/25,1126.87h,4.05h,,,,,,,20.32h,216.87h,0.00h,0.00h,,,,9550.98h,258.78h,
,EASYPAY-826,Create API to pass information to store payment file,3/14/25,165.10h,211.38h,,,,,,,0.10h,292.85h,571.55h,0.00h,,,,9865.15h,,
,EASYPAY-893,[IPR-report final statuses] 3. Create Kafka topic for providing information to SGW,4/15/25,1678.22h,0.00h,,,,,,,4.52h,338.45h,16.78h,0.00h,,,,9098.18h,,
,EASYPAY-845,Publish payment information to Kafka topic,1/28/25,196.62h,,,,,,,,,,,,,,,,10939.65h,
,EASYPAY-842,Create Kafka topic and publish mass payment header information to it,6/4/25,2231.12h,22.28h,,,,,,,336.80h,653.55h,0.00h,0.00h,,,,7892.50h,,
,EASYPAY-843,Split batch to payments (store info),4/23/25,1585.17h,289.87h,,,,,,,335.02h,24.88h,0.00h,0.00h,,,,8901.35h,,
,EASYPAY-847,Split pain.001 to batches (store info),3/28/25,1414.67h,0.00h,,,,,,,0.07h,192.15h,0.00h,0.00h,,,,9529.48h,,
,EASYPAY-846,Validate pain.001 file content,3/19/25,552.05h,526.65h,,,,,,,145.72h,173.12h,0.08h,0.00h,,,,9738.77h,,
,EASYPAY-844,Read pain.001 file from filebarn,3/14/25,574.82h,125.38h,,,,,,,0.00h,378.98h,192.20h,0.00h,,,,9865.13h,,
,EASYPAY-824,Send request to data manager API to store file data,3/26/25,195.60h,835.82h,,,,,,,214.72h,316.12h,0.00h,0.00h,,,,9574.42h,,
,EASYPAY-825,Consume Kafka topic,1/28/25,195.63h,1.03h,,,,,,,,,,,,,,,10940.05h,
,EASYPAY-827,Create Kafka topic for getting file information from SGW,3/3/25,195.67h,715.33h,,,,,,,5.77h,22.32h,68.33h,0.58h,,,,10128.73h,,
,EASYPAY-823,Onboard Batch handler to Kafka,3/21/25,195.70h,21.48h,,,,,,,526.95h,502.08h,197.73h,0.00h,,,,9692.80h,,
,EASYPAY-848,[CORE DB] Funds Update service is able to SELECT data from DB tables,2/20/25,0.38h,606.10h,,,,,,,63.17h,1.33h,49.50h,22.03h,,,,10394.28h,,
Production bug,EASYPAY-821,[ISO Exchange] Incorrect value date for some TIPS camt.054,1/24/25,0.12h,24.98h,,,,,,,4.67h,0.00h,20.15h,45.88h,,,,11041.90h,,
,EASYPAY-820,"[DB] Core reports (payments BO) - Adjust ""Payments in Proscan"" (SIPCI)",1/15/25,0.00h,0.23h,,,,,,,20.37h,3.92h,0.02h,20.77h,,,,11256.15h,,
,EASYPAY-849,[CORE DB] Update TRANSIT_PAYMENT data in TPH_FUNDS_UPDATE_OP_TYPE,2/20/25,0.13h,788.02h,,,,,,,64.52h,0.80h,48.70h,22.03h,,,,10394.28h,,
,EASYPAY-819,[Maintenance] Change RETURN_DB_TRNS_NEW value to Y after REL268,1/23/25,331.43h,,,,,,,,,,,,,,,11065.62h,,
,EASYPAY-818,Einvoce [DB]: Update existing 38 algorithm (Hansa lizingas),1/16/25,173.97h,,,,,,,,,,,,,,,,11226.25h,
,EASYPAY-816,Einvoices: create new algorithm for service id,1/10/25,0.03h,0.38h,,,,,,,0.00h,94.37h,0.00h,97.77h,,,,11374.07h,,
,EASYPAY-1197,iBank Private and Business PB: Showing permanent warning message how customer can increase instant payment limit,9/8/25,308.38h,,,5976.58h,,,,,,,,,,,,,5589.80h,
,EASYPAY-1198,iBank Private and Business PB: Showing warning message in case customer tries to make instant payment and instant payment daily/ transaction limit is exceeded,9/8/25,0.13h,,,6285.02h,,,,,,,,,,,,,5589.78h,
,EASYPAY-1195,"iBank Private and Business PB: Showing warning messages in case customer disabled instant payments or exceeded instant payment, daily and/or monthly limits in SMART payment form",10/1/25,1.72h,43.52h,,6310.92h,,,,,4.20h,143.57h,20.08h,336.25h,,,,5042.18h,,
,EASYPAY-965,[IBank] Payment cart additional sentence,5/29/25,980.52h,1699.10h,,,501.60h,2.48h,,,487.10h,,237.32h,1.60h,0.67h,,,8037.08h,,
Production bug,EASYPAY-813,[REGR][payment-monitor] Tech error: tnsldap.int.hansa.ee:389 [Root exception is java.net.ConnectException: Operation timed out],1/17/25,0.00h,71.75h,,,,,,,0.03h,0.77h,676.38h,0.00h,,,,11204.62h,,
,EASYPAY-815,Improve payments automated regression tests with group accounts payments functionality,4/14/25,0.00h,412.32h,,0.00h,,,,,552.32h,1967.43h,0.00h,0.00h,,,,9115.50h,,
,EASYPAY-1284,DB: remove shortcuts to Bank defined payments menu in LV,12/8/25,7490.08h,1102.50h,,,,,,,0.32h,70.57h,,,,,,,3407.95h,
,EASYPAY-811,[DB] Enabler for '15H transaction is with wrong date',12/23/24,0.00h,0.00h,,,,,,,0.00h,4.03h,0.52h,261.12h,,,,11807.90h,,
Production bug,EASYPAY-817,[DB] issue regarding a namecheck menu in Forms Teller,1/10/25,647.28h,16.22h,,,,,,,0.00h,30.45h,0.10h,25.08h,,,,11371.38h,,
,EASYPAY-810,Adjustments for outgoing Returns,1/8/25,26.07h,16.83h,,,,,,,0.17h,2.93h,94.50h,532.22h,,,,11419.98h,,
Production bug,EASYPAY-809,[FORMS] Data on risk screening forms is not updated,1/2/25,0.00h,283.40h,,,,,,,0.00h,96.87h,6.50h,142.57h,,,,11564.80h,,
Production bug,EASYPAY-812,[REGR][Ibank] Failed to send instant payment {id = '*********'},1/15/25,0.02h,233.75h,,,,,,,0.00h,1.17h,624.58h,5.50h,,,,11250.52h,,
,EASYPAY-808,[DB] Grant execute on CREBIT.SETUP_CHANGED to SEPA_APP_ROLE,12/13/24,2.72h,0.03h,,,,,,,186.30h,0.92h,30.48h,25.78h,,,,12042.90h,,
,EASYPAY-807,[DB] AGREEMENTORCH_API_USER does not fit to field,12/5/24,3.68h,0.00h,,,,,,,46.65h,2.50h,0.10h,20.30h,,,,12239.33h,,
,EASYPAY-806,create/setup prod namespace,12/10/24,0.00h,0.00h,,,,,,,0.00h,287.97h,0.00h,0.00h,,,,12122.08h,,
Production bug,EASYPAY-805,[DB] E-invoices: Abstract invoice automated payment creation works incorrect way,1/16/25,578.12h,22.17h,,22.48h,,,,,0.05h,92.87h,0.18h,193.68h,,,,11547.02h,,
,EASYPAY-804,Do not send real customer data with payments to the TEST clearing systems,11/28/24,0.05h,0.00h,,,,,,,0.07h,19.33h,5.30h,47.12h,,,,12404.63h,,
,EASYPAY-855,[217][Forms] Adjust faulty electronical payments management,3/31/25,1156.77h,569.82h,,235.22h,,,,,461.57h,317.60h,27.55h,395.53h,,,,9461.00h,,
,EASYPAY-786,[DB] Create procedure for Data restoring from dead letter queue to main AQ,12/19/24,0.05h,335.30h,,,,,,,237.97h,95.90h,0.03h,49.32h,,,,11900.80h,,
,EASYPAY-785,[Enabler] Define the process for payment orders from the files,3/31/25,0.00h,3169.20h,,,,,,,,,,,,,,,9451.23h,
,EASYPAY-784,Send data from integration application to raw topic,2/6/25,0.00h,1147.13h,,,,,,,7.42h,546.88h,147.35h,47.35h,,,,10724.67h,,
,EASYPAY-1289,SEPA echange: clean-up code not to check Sysglobal SEPA_SINGLE_FORM_START,1/26/26,8160.68h,1916.05h,,,,,,,0.03h,143.22h,25.28h,267.87h,,,,2228.85h,,
,EASYPAY-772,[E-invoice] configuring dedicated data source in Core from Payments side with specific timeout settings,12/13/24,142.40h,42.77h,,,,,,,27.72h,239.70h,2.78h,264.48h,,,,12043.95h,,
,EASYPAY-770,[DB] Please add these grants to PAYMENT_SUP role,11/12/24,18.43h,0.00h,,,,,,,0.00h,0.57h,5.70h,0.10h,,,,12787.12h,,
,EASYPAY-788,[CORE DB] Create rules for value date correction functionality in pacs.004,12/4/24,194.93h,209.52h,,,,,,,3.52h,118.00h,0.37h,26.82h,,,,12260.98h,,
,EASYPAY-778,[On hold - for testing when all tasks ready] Create a Jenkins jobs for Kafka Pipelines,2/6/25,0.08h,308.25h,,,,,,,0.00h,605.05h,1245.85h,0.00h,,,,10724.63h,,
,EASYPAY-769,[DB] Insert 0 delay for Open Banking payments execution,11/11/24,23.45h,0.00h,,,,,,,0.00h,90.08h,1.63h,4.55h,,,,12812.23h,,
,EASYPAY-790,Cache update is not triggered after restricting IP flow in SEPA-Web,12/17/24,173.28h,522.72h,,,,,,,0.00h,192.18h,119.30h,25.60h,,,,11952.60h,,
,EASYPAY-1287,iBank: remove menu items after transition period,1/26/26,8522.37h,1915.98h,,,,,,,126.93h,305.17h,,,,,,,2233.15h,
Production bug,EASYPAY-765,cannot display payment list in ibank,11/8/24,2.03h,5.12h,,41.60h,,,,,0.00h,95.88h,0.27h,96.10h,,,,12888.32h,,
,EASYPAY-835,[IBANK EE] Get PDF printout for TPH outgoing return payment,3/10/25,0.22h,2854.02h,,,,,,,43.07h,123.47h,19.67h,150.30h,,,,9955.88h,,
,EASYPAY-830,[IBANK LT] Get PDF printout for TPH outgoing return payment,3/10/25,0.18h,2752.77h,,,,,,,93.55h,7.83h,163.82h,171.08h,,,,9957.40h,,
,EASYPAY-791,[REGR] java.lang.NumberFormatException: multiple points,1/16/25,0.15h,858.08h,,,,,,,3.25h,22.47h,1011.47h,21.42h,,,,11231.12h,,
,EASYPAY-762,Upgrade JAVA version for e-PAY batches component,11/14/24,233.70h,0.02h,,,,,,,169.68h,1.62h,0.60h,2.30h,,,,,12745.87h,
,EASYPAY-782,Kafka firewall opening,2/12/25,0.52h,936.92h,,,,,,,1704.35h,,0.00h,0.00h,,,,10583.30h,,
,EASYPAY-834,[IBANK LV] Get PDF printout for TPH outgoing return payment,3/28/25,79.23h,2806.15h,,,,,,,40.87h,2.15h,166.57h,548.10h,,,,9534.68h,,
,EASYPAY-831,[IBANK] View TPH outgoing return payment details,3/14/25,75.40h,2902.08h,,,,,,,122.57h,0.02h,21.32h,240.13h,,,,9864.37h,,
,EASYPAY-761,[batch-rt1-uploader] RSF file import fails after rel. 253,10/29/24,2.95h,0.00h,,,,,,,0.00h,,69.35h,31.17h,,,,13122.92h,,
,EASYPAY-801,Forms Teller - Adjust Comparision report for Cross-border Instant payments (SIPCI/SIPCO),1/14/25,0.00h,1529.08h,,,,,,,0.00h,5.25h,67.97h,359.93h,,,,11280.32h,,
,EASYPAY-764,[Maintenance task] DB: prepare script for pricing product update,11/14/24,0.00h,44.17h,,143.17h,,,,,169.82h,2.73h,1.45h,165.42h,,,,12741.95h,,
,EASYPAY-763,DB: update/insert new special prices for customer's,11/14/24,25.10h,44.08h,,143.25h,,,,,0.67h,285.87h,5.52h,47.45h,,,,12741.97h,,
Production bug,EASYPAY-792,[DB]15H transaction is with wrong date,1/10/25,501.75h,245.83h,68.32h,,,,,,119.97h,382.70h,307.78h,297.48h,,,,11370.78h,,
Production bug,EASYPAY-758,"payment-form-service-lv issue ""remittance-information-type"":""DETAIL""",10/23/24,0.05h,67.97h,,,,,,,1.47h,26.65h,3.80h,23.25h,,,,13267.65h,,
,EASYPAY-781,Create STREAM bpay_fraud_monitoring_stream,2/21/25,0.13h,1294.83h,,168.78h,,,,,0.00h,1296.45h,94.80h,170.43h,,,,10368.05h,,
,EASYPAY-757,[TEST] pdf in STAR,10/21/24,0.05h,0.00h,,,,,,,0.00h,,5.57h,68.22h,,,,13320.92h,,
,EASYPAY-751,add rights to db user,10/21/24,0.03h,0.00h,,,,,,,0.00h,0.85h,115.78h,0.00h,,,,13320.97h,,
,EASYPAY-749,Create monitoring dashboard in Grafana for BpayStream app,1/6/25,0.00h,905.65h,,,,,,,0.50h,1104.40h,5.30h,0.15h,,,,11468.17h,,
,EASYPAY-747,increase size of available connections for bpay_stream_user to 40,10/22/24,0.00h,0.00h,,,,,,,0.08h,1.88h,138.40h,145.13h,,,,13296.97h,,
,EASYPAY-750,Create general PL/SQL interface to close Standing Order Agreements in case it is closed payer account,10/25/24,0.00h,115.15h,0.13h,4.55h,,,,,0.02h,24.02h,142.07h,71.83h,,,,13227.18h,,
,EASYPAY-783,Create Kafka Topic for Fraud Monitoring - W981.baltic.payments.fraud.monitoring.topic,2/27/25,45.33h,1590.90h,,,,,,,0.00h,40.68h,1391.28h,316.40h,,,,10222.08h,,
,EASYPAY-779,[On hold - for testing when all tasks ready] Create Kafka Raw Topic - W981.baltic.payments.raw.topic,2/6/25,44.88h,1468.57h,,,,,,,0.00h,122.80h,1245.82h,0.00h,,,,10724.65h,,
,EASYPAY-780,Create Kafka schema - W981.baltic.payments.raw.topic-value,2/3/25,0.17h,1516.52h,,,,,,,524.80h,502.38h,267.67h,0.13h,,,,10798.27h,,
,EASYPAY-795,[DB] Log changes of CREBIT.DP.RISK_SCREENING_STATUS into CREBIT.DP_LOG_ST,11/28/24,0.00h,1086.75h,,,,,,,90.43h,26.87h,1.12h,21.48h,,,,12407.15h,,
