Type,Key,Summary,Resolution Date,Ready for patch [deleted],Open,Ready for Development,Backlog,On Hold,Waiting test deploy,To Do,Ready for Refinement,In Progress,In Code Review,Acceptance Testing,Ready for Deploy,Testing,Ready for Testing,Code review,Discovery,Delivery,Canceled,Done,Cancelled
,GUI-3928,tooltip opening with enter submits form,,,2784.25h,,,,,,,,,,,,,,,,187.52h,,
,GUI-3925,Replace SCSS with CSS for ibank fdp project,,,23.00h,,,,,,,,,,,,,,,,2952.02h,,
,GUI-3919,Beta iBank - can we run 2 iBanks in parallel - Investigation,,,1637.32h,,,,,,,,,,,,,,,,1339.72h,,
,GUI-3911,Adobe tracking - need to check analytics consent - investigation,,,690.67h,,,,,,,,,,,,,,,,2327.52h,,
,GUI-3910,ui-product hardcodes buttonbar placement,,,3018.20h,,,,,,,,,,,,,,,,,,
,GUI-3908,Update https://uidocs.swedbank.net/ main page,,,3045.23h,,,,,,,,,,,,,,,,,,
,GUI-3906,Add ibank-store library for FDP,,,3.38h,,,,,,,146.15h,46.72h,,,,,,,,2850.92h,,
,GUI-3905,Button alignment for infoboxes,,,3047.88h,,,,,,,,,,,,,,,,,,
,GUI-3903,FR for UIDaterange,,,3111.42h,,,,,,,,,,,,,,,,,,
,GUI-3902,<ui-tab> visually cuts special characters in title.,,,1820.82h,,,,,,,,,,,,,,,,1293.03h,,
,GUI-3897,H2 is not visible on mobile screen for ui-awarddetails,,,119.72h,,,,,,,,,,,,,,,,3017.03h,,
,GUI-3894,Maybe add `\n` symbol to replace with <br> in ui-field's label,,,3141.78h,,,,,,,,,,,,,,,,,,
,GUI-3893,"table row role=""presntation"" issue, table expandable plugin might override <tr> attributes",,,3142.18h,,,,,,,,,,,,,,,,,,
,GUI-3892,ui-awards doesn't have upper spacing/margin,,,862.77h,,,,,,,,,,,,,,,,2279.72h,,
,GUI-3889,allow-empty attibute seems to be prevent return focus back to control element,,,3166.53h,,,,,,,,,,,,,,,,,,
,GUI-3888,Check hypens possibility in offers?,,,3167.77h,,,,,,,,,,,,,,,,,,
,GUI-3887,"Fix UI Docs ""latest"" environment",,,3179.08h,,,,,,,,,,,,,,,,,,
,GUI-3884,Improve SVG inlining into CSS,,,3206.57h,,,,,,,,,,,,,,,,,,
,GUI-3883,Allow to reuse CSS code within codebase,,,3207.18h,,,,,,,,,,,,,,,,,,
,GUI-3882,Ensure correct @media breakpoint values are always used,,,3208.50h,,,,,,,,,,,,,,,,,,
,GUI-3881,ui-dropdown popover overlows if it positioned on the right with plain layout,,,3211.55h,,,,,,,,,,,,,,,,,,
,GUI-3880,ui-elements.d.ts has issue with typings,,,0.10h,,,,,,,,,,,,,,,,3213.55h,,
,GUI-3878,Alignment bug with ui-link primary layout,,,3281.98h,,,,,,,,,,,,,,,,,,
,GUI-3876,Inconsistent focus in ui-nav submenus,,,3331.20h,,,,,,,,,,,,,,,,,,
