Type,Key,Summary,Resolution Date,Open,Investigation,Ready for Refinement,Backlog,Reopened,On Hold,Refined,In Development,Ready for test,In Testing,Waiting for acceptance,In Progress,Done,Abandoned,,,,
,CALLS-1512,[payment-services] Sometimes error code -2 returned when executing payment,2/20/26,0.00h,,94.30h,,,,28.55h,18.23h,30.42h,0.07h,,,1627.05h,,,,,
,CALLS-1510,Direct Flow manager to payments owned services on openshift cluster,2/19/26,0.00h,,3.15h,,,,0.00h,22.50h,88.72h,49.95h,,,1656.43h,,,,,
,CALLS-1509,Link service accounts with AD groups,3/20/26,794.05h,,0.00h,,,,72.13h,0.18h,0.00h,0.00h,,,959.18h,,,,,
,CALLS-1507,Implement backoff mechanism for History cleanup job,2/19/26,0.90h,,44.40h,,,,120.22h,27.78h,0.00h,20.47h,,,1655.08h,,,,,
,CALLS-1506,[FLM Entrypoint] Reduce errors when processing status updates (singlePaymentOrderCatchStateChange),,0.00h,,213.47h,,,,773.95h,810.93h,17.40h,53.73h,,,,,,,,
,CALLS-1505,[FLM] Implement DB cleaning job for counting table,3/9/26,21.68h,0.32h,360.40h,,,,0.47h,164.88h,24.10h,73.75h,,,1225.00h,,,,,
,CALLS-1504,[FLM | LimitUsage] Limit usage replaces last object in rltdSys list,2/13/26,0.00h,,16.60h,,,,6.80h,45.77h,1.03h,23.80h,,,1795.97h,,,,,
,CALLS-1500,Add application configs,2/17/26,0.05h,,0.00h,,,,10.38h,178.47h,0.00h,0.00h,,,1706.22h,,,,,
,CALLS-1499,Prepare DB scripts,2/9/26,0.23h,,0.00h,,,,0.00h,2.08h,0.00h,0.00h,,,1892.85h,,,,,
,CALLS-1498,Make admin applications session aware (only TEST/PROD env),2/17/26,0.00h,,70.83h,,,,118.13h,,0.00h,0.00h,,,1706.22h,,,,,
,CALLS-1502,[FLM | Entrypoint] Debtor address (not used),2/23/26,0.00h,72.95h,210.72h,,,,0.00h,1.55h,28.53h,94.53h,,,1556.37h,,,,,
,CALLS-1496,Verify and adjust MIG/BH vs PODM array/object conversion,2/17/26,0.08h,1.68h,260.97h,,,,,,,,,,,1704.17h,,,,
,CALLS-1503,[FLM | Entrypoint] Ultimate party residence country (not used),2/18/26,0.00h,94.57h,195.30h,,,,0.00h,16.98h,6.03h,0.00h,,,1673.40h,,,,,
,CALLS-1495,Verify header logging for all JavaDelegate APIs,,0.00h,,1988.03h,,,,,,,,,,,,,,,
