Type,Key,Summary,Resolution Date,Funnel,Backlog,Open,Investigation,Ready for Refinement,On Hold,Analysing,Implementing,In Deployment,In Development,Ready for test,In Testing,Refined,Waiting for acceptance,Done,Cancelled,Abandoned,Funnel to Done,Implementing to Done
,VDE19-442,Enabler: [TIDY Agr Summ] Baltic Payments Batch Handling // W990,,3068.55h,,,,,,,,,,,,,,,,,3068.55h,0.00h
,VDE19-441,Enabler: [TIDY Agr Summ] Baltic Payment event streaming // W981,,3068.63h,,,,,,,,,,,,,,,,,3068.63h,0.00h
,VDE19-493,18. Legacy Defined Payments Form,2/10/26,1300.88h,,0.03h,,,,,,,,,,,,,1891.22h,,1300.92h,0.00h
,VDE19-557,Future improvements in iBank,,2855.85h,0.00h,,,,,0.00h,360.52h,,,,,,,,,,3216.37h,360.52h
,VDE19-437,[IPR] ensure proper observability of business processes running on Payment flow manager,,2490.37h,0.00h,,,,,340.03h,405.97h,,,,,,,,,,3236.37h,405.97h
,VDE19-435,[IPR] Testing Findings/BUG's of payment order from SGW channel,,714.42h,0.00h,,,,,819.35h,1892.40h,,,,,,,,,,3426.17h,1892.40h
,VDE19-436,[TPH] HomeProfile setup in TPH,,0.12h,,19.48h,0.00h,,,3409.38h,,,,,,,,,,,3428.98h,0.00h
,VDE19-440,Enabler: [TIDY Agr Summ] Homebank // W715,,496.13h,,,,,,3170.57h,,,,,,,,,,,3666.70h,0.00h
,VDE19-434,[IPR] Setup Flow Manager tests environment in Azure,3/10/26,5.37h,0.00h,,,,,1821.33h,673.53h,0.00h,,,,,,1219.17h,,,2500.23h,673.53h
,VDE19-490,10. Giro Payment With Code Page,3/6/26,637.80h,0.00h,1481.52h,,,,0.02h,403.65h,0.00h,,,,,,1318.30h,,,2522.98h,403.65h
,VDE19-454,5. Giro and Cart of Payments Page,3/6/26,1094.20h,0.00h,583.63h,,,,0.00h,862.17h,0.00h,,,,,,1393.07h,,,2540.00h,862.17h
,VDE19-433,[IPR] ensure possibility for Payment flow manager to consume Teleagreement limits using external service,,4007.37h,,,,,,,,,,,,,,,,,4007.37h,0.00h
,VDE19-518,28. E-Invoice Applications and Agreements Page,3/20/26,266.75h,0.00h,2448.75h,,,,0.00h,332.85h,0.00h,,,,,,983.57h,,,3048.35h,332.85h
,VDE19-450,4. Giro Payment Details Page,3/20/26,,,704.22h,,,,,2392.05h,21.53h,,,,,,983.60h,,,3117.80h,2413.58h
,VDE19-429,MVP4 BPAY repository migration to GitHub [leftovers],,0.03h,4101.42h,,,,,0.97h,,,,,,,,,,,4102.42h,0.00h
,VDE19-428,MVP3 BPAY repository migration to GitHub [andromeda],,0.00h,4101.75h,,,,,0.67h,,,,,,,,,,,4102.42h,0.00h
,VDE19-427,MVP2 BPAY repository migration to GitHub [custom pipeline],,0.65h,4102.50h,,,,,0.00h,,,,,,,,,,,4103.15h,0.00h
,VDE19-426,MVP1 BPAY repository migration to GitHub [no pipeline],,2.17h,4102.53h,,,,,1.02h,,,,,,,,,,,4105.72h,0.00h
,VDE19-491,17. Giro Payment Without Code Page,11/20/25,637.23h,0.00h,0.05h,,313.07h,,0.00h,403.70h,0.00h,23.93h,0.60h,20.50h,,,2776.00h,,,1399.08h,448.73h
,VDE19-424,"Close ISO20022_MIG_V1.13 and Telehansa (PB, 6)",,4222.93h,,,,,,44.80h,,,,,,,,,,,4267.73h,0.00h
,VDE19-447,9. Giro Payment Signing Page,12/11/25,947.02h,0.00h,0.00h,,672.57h,92.13h,0.00h,936.98h,0.00h,,93.72h,122.75h,,,1473.22h,,,2865.17h,1153.45h
,VDE19-423,[CORE DB] Comparison report improvements,3/25/26,480.20h,395.23h,,,,,1619.27h,984.18h,0.02h,,,,,,864.73h,,,3478.90h,984.20h
,VDE19-422,VAT Law changes in LT for SWIFT service new attribute Procurement Number,12/17/25,857.83h,,,,,,293.68h,,,,,,,,,3211.22h,,1151.52h,0.00h
,VDE19-421,BPAY autotest codebase refactoring & optimisation,1/20/26,23.58h,1536.10h,,,,,456.93h,,,,,,,,,2400.08h,,2016.62h,0.00h
,VDE19-420,Automated test capabilities for Payments Baltics services,,504.35h,1373.10h,,,,,0.00h,2563.07h,,,,,,,,,,4440.52h,2563.07h
,VDE19-419,[TPH] Payment Reference Data Management,,2281.20h,0.00h,,,,,311.65h,1847.72h,,,,,,,,,,4440.57h,1847.72h
,VDE19-453,2. Payment History Page,1/29/26,1075.05h,0.00h,1119.68h,,,,0.00h,74.15h,0.00h,,,,74.12h,,2181.22h,,,2343.00h,148.27h
,VDE19-485,34. Defined International Payments Form,3/27/26,1098.50h,0.00h,1178.18h,,,,0.00h,1414.43h,27.22h,,,,,,813.57h,,,3718.33h,1441.65h
,VDE19-418,TEST: [TPH][EndToEnd] Skyvault Core - Regression Testing,,24.03h,,,,,,4511.37h,,,,,,,,,,,4535.40h,0.00h
,VDE19-451,23. Standing Orders Page,3/20/26,948.53h,0.00h,20.55h,,996.98h,0.00h,0.00h,1250.12h,21.53h,,,,316.52h,,983.60h,,,3554.23h,1588.17h
,VDE19-507,26. Standing Orders List Page,3/6/26,135.00h,0.00h,20.60h,,343.52h,,0.02h,403.65h,1.73h,,,,,,1316.57h,,2316.87h,904.52h,405.38h
,VDE19-484,29. Standing Order Application Page,3/30/26,300.23h,0.00h,1998.98h,,,,0.00h,1510.68h,0.00h,,,,,,744.50h,,,3809.90h,1510.68h
,VDE19-417,Payments Baltics repos & pipelines migration to GitHub,11/10/25,162.65h,,,,,,291.80h,,,,,,,,,4101.33h,,454.45h,0.00h
,VDE19-449,6. LV Bank Defined Payment Page,11/5/25,1079.95h,0.00h,21.85h,,318.78h,,0.03h,937.05h,1.92h,,,,,42.78h,2155.87h,,,2402.37h,981.75h
,VDE19-446,8. Defined Payments (Smart Defined) Page,2/17/26,983.77h,0.00h,96.82h,,388.87h,670.53h,0.00h,533.30h,0.00h,144.73h,,1.25h,139.83h,,1722.08h,,,2959.10h,819.12h
,VDE19-416,[IPR] Preparations to activate Batch handler in production environment,,309.78h,0.00h,,,,,2208.02h,2184.53h,,,,,,,,,,4702.33h,2184.53h
,VDE19-415,[IPR] Configure defined process of payment order from iBank orchestration in payment flow manager,,2016.58h,,,,,,2755.97h,,,,,,,,,,,4772.55h,0.00h
,VDE19-448,15. List of Payments Page,12/3/25,946.25h,0.00h,266.30h,,409.83h,,0.00h,0.02h,0.00h,625.88h,,1.48h,,,2598.15h,,,2249.77h,627.38h
,VDE19-410,[IPR] Implement BH flow to manage batch payments from iBank,,0.07h,,,,,,4920.38h,,,,,,,,,,,4920.45h,0.00h
,VDE19-409,VAT Law changes in LT for SWIFT service,1/15/26,382.88h,0.00h,,,,,453.90h,840.75h,741.68h,,,,,,2521.32h,,,2419.22h,1582.43h
,VDE19-407,[Dyn] Dynasty decommissioning (closing gaps),,5036.73h,,,,,,,,,,,,,,,,,5036.73h,0.00h
,VDE19-497,22. E-Invoice Application Page,10/31/25,264.28h,0.00h,233.80h,,,2.73h,0.02h,810.50h,49.23h,314.05h,23.45h,,,165.17h,3147.00h,,,1863.23h,1362.40h
