Type,Key,Summary,Resolution Date,Open,Ready for Refinement,Investigation,Reopened,To Do,Backlog,Refined,In Development,Ready for test,In Testing,Blocked,ON-HOLD testing,Selected for Development,In Progress,Waiting for acceptance,Done,Abandoned
,PAYME-1679,[iBank] Mass payments creation page - Vop is not performed when saving with warnings,1/22/26,0.02h,0.00h,,,,,0.10h,3.55h,1.87h,17.92h,,,,,,1442.97h,
,PAYME-1676,Not correct info message for customer,2/2/26,16.00h,172.08h,,,,,47.37h,19.88h,4.33h,69.35h,,,,,,1179.50h,
,PAYME-1673,Placeholder - to run scrip of PAYME-1499 and reminder about payme-1578,3/12/26,1054.67h,0.00h,,,,,188.02h,,,,,,,,,267.98h,0.00h
,PAYME-1671,FORWARD button is missing when opening file from import of payment page,1/23/26,0.10h,0.00h,,,,,0.13h,26.90h,43.88h,20.82h,,,,,,1420.02h,
Test,PAYME-1670,AC12,1/23/26,98.15h,0.00h,,,,,0.00h,,0.00h,0.00h,,,,,,1416.40h,
Test,PAYME-1669,AC11,1/19/26,2.13h,,,,,,,,,,,,,,,1512.42h,
Test,PAYME-1668,AC10,1/19/26,2.30h,,,,,,,,,,,,,,,1512.25h,
Test,PAYME-1667,AC9,1/19/26,2.07h,,,,,,,,,,,,,,,1512.48h,
,PAYME-1666,Details/Reference number visualization in Mass/Salary file,2/13/26,0.17h,153.65h,,,,,0.00h,62.47h,318.22h,68.60h,,,,,,912.02h,
Test,PAYME-1664,AC8,1/23/26,0.03h,,,,,,,,,0.00h,,165.30h,,,,1416.40h,
,PAYME-1663,do not show message for vop result MTCH before redirecting to list of payments approval page,2/2/26,0.02h,0.00h,,,,,238.62h,76.85h,86.18h,0.85h,,,,,,1179.32h,
Test,PAYME-1662,AC6,1/16/26,0.18h,,,,,,,,,,,,,,,1581.77h,
Test,PAYME-1661,TC1 [PAYME-1636] Retry process when payment has been cancelled,1/16/26,0.00h,0.00h,,,,,0.00h,,0.00h,0.00h,,,,,,1582.08h,
Test,PAYME-1660,AC7,1/16/26,0.10h,,,,,,,,,,,,,,,1582.03h,
Test,PAYME-1659,AC5,1/16/26,0.88h,,,,,,,,,,,,,,,1582.15h,
Test,PAYME-1658,AC3,1/16/26,0.03h,,,,,,,,,,,,,,,1583.05h,
Test,PAYME-1657,AC1,1/16/26,0.15h,,,,,,,,,,,,,,,1583.10h,
Test,PAYME-1655,AC4,1/23/26,1.00h,,,,,,,,,0.00h,,166.13h,,,,1416.42h,
Test,PAYME-1654,AC2,1/16/26,0.63h,,,,,,,,,,,,,,,1583.58h,
,PAYME-1652,"[iBank] List of payments page - mass payments, in status ""In progress"" can be confirmed",2/19/26,601.25h,0.00h,0.00h,73.43h,,,0.03h,142.55h,20.22h,2.58h,,,,,,768.57h,
,PAYME-1651,[S1.3] BH-data-manager: Update API collecting payment information needed for pain.002,,0.00h,172.73h,,,,,353.60h,1.37h,676.38h,,,430.95h,,,,,
,PAYME-1650,"The new button ""Perform VOP"" requirements should be applicable also for Mass/Salary payments",3/2/26,0.57h,69.65h,,19.15h,,,0.00h,647.23h,214.65h,172.23h,,25.47h,,,,503.95h,
,PAYME-1649,"Foreign payments regression testing on Skyvaut in EE, LV,LT [26-30.01.2026]",2/2/26,360.42h,0.00h,,,,,0.00h,,45.83h,77.95h,,,,,,1174.38h,
,PAYME-1648,"Payment performance testing on Skyvaut in EE, LV,LT [26-30.01.2026]",2/2/26,360.52h,0.00h,,,,,0.00h,,46.68h,77.58h,,,,,,1173.90h,
Test,PAYME-1647,TC1 [PAYME-1621] Retry process when core payment data was changed,1/16/26,73.90h,0.00h,,,,,0.00h,,0.00h,22.47h,,,,,,1582.15h,
Test,PAYME-1646,TC2 [PAYME-1577] Postponed retry processing,1/16/26,73.92h,0.00h,,,,,0.00h,,0.00h,22.42h,,,,,,1582.20h,
Test,PAYME-1645,TC1 [PAYME-1577] Retry process with sending back to AQ,1/16/26,0.02h,0.00h,,,,,0.00h,,0.00h,94.10h,,,,,,1584.43h,
,PAYME-1644,[core-payment-order-data-manager] Decouple vopSts and mtchCd to be able post only vopSts,1/14/26,0.00h,0.00h,,,,,0.00h,21.27h,24.58h,0.00h,,,,,,1632.95h,
Production bug,PAYME-1643,"[CORE DB] Not correct D.STATUS value for FPO payment after ""Payment is late"" error",2/1/26,168.32h,0.00h,,,,,0.00h,22.27h,48.80h,237.18h,,,,,,1203.03h,
Bug Sub-Task,PAYME-1642,Pain.002 for rejected batch has to contain payment information,2/13/26,0.00h,649.53h,,,,,0.00h,95.55h,97.50h,0.00h,,,,,,909.88h,
,PAYME-1641,Count warnings in Import of Payments page,1/23/26,0.00h,69.68h,,,,,16.83h,36.85h,18.05h,195.75h,,,,,,1416.37h,
Bug Sub-Task,PAYME-1639,Regression testing finding: Payments in List of Payments can't be selected,1/12/26,1.63h,0.00h,,,,,0.00h,,88.87h,1.18h,,,,,,1682.23h,
,PAYME-1638,Overwriting details for defined mass payment is not working,1/9/26,3.58h,0.00h,0.00h,,,,0.00h,16.77h,1.55h,2.18h,,,,,,1752.00h,
,PAYME-1636,[worker-payment-vop-handler] Do not retry on defective/cancelled/deleted payments,1/16/26,0.07h,0.00h,,,,,94.82h,50.55h,29.20h,22.48h,,,,,,1582.05h,
,PAYME-1635,Prepare payment services in Skyvault Gate,,0.00h,0.00h,,,,,0.00h,6.82h,,,307.40h,,,,,1466.17h,
,PAYME-1634,Translations for mass payments in list of payments/import page,1/15/26,162.73h,0.00h,,16.48h,,,21.68h,6.55h,4.72h,2.23h,,,,,,1606.73h,
Bug Sub-Task,PAYME-1633,Incorrect number of failed payments in status report db record when one of the batch was rejected,3/4/26,763.70h,0.00h,,0.00h,,,0.00h,139.90h,486.87h,0.37h,,,,,,454.05h,0.00h
,PAYME-1630,Request prod env for Skyvault payment-services,1/13/26,0.00h,0.00h,,0.00h,,,0.00h,74.55h,0.00h,0.00h,115.48h,,,,,1658.08h,
