Type,Key,Resolution Date,Backlog,To Do,Open,In Progress,AC Test,Code review,Selected for Development,In Development,Done,Cancelled
,BWEBDEV-7845,,12d 19h 37m,,,3d 2h 46m,4d 21h 10m,,,,8d 10h 5m,
,BWEBDEV-7844,,0d 22h 13m,,,8d 3h 4m,2d 19h 16m,0d 0h 25m,,,17d 8h 55m,
,BWEBDEV-7840,,1d 22h 34m,0d 0h 4m,,1d 6h 13m,1d 18h 16m,,,,24d 7h 47m,
,BWEBDEV-7828,,5d 17h 25m,,,1d 8h 37m,6d 21h 58m,,,,16d 3h 19m,
,BWEBDEV-7827,,1d 20h 2m,0d 0h 1m,,1d 1h 36m,3d 22h 9m,,,,23d 7h 53m,
,BWEBDEV-7809,,0d 0h 1m,0d 5h 17m,,0d 0h 37m,7d 19h 13m,,,,22d 8h 4m,
,BWEBDEV-7787,,0d 0h 4m,0d 3h 40m,,0d 17h 25m,0d 3h 58m,,,,30d 5h 7m,
,BWEBDEV-7779,,2d 13h 2m,3d 2h 19m,,13d 4h 28m,7d 17h 11m,,,,7d 10h 49m,
,BWEBDEV-7772,,0d 1h 36m,,,2d 22h 55m,2d 2h 15m,,,,29d 1h 13m,
,BWEBDEV-7763,,0d 18h 30m,0d 1h 43m,,2d 21h 2m,7d 1h 37m,,,,24d 4h 43m,
,BWEBDEV-7760,,0d 1h 23m,0d 17h 18m,,0d 4h 19m,6d 0h 46m,,,,28d 2h 55m,
,BWEBDEV-7746,,11d 8h 18m,0d 17h 30m,,10d 4h 25m,4d 21h 7m,0d 1h 23m,,,8d 3h 11m,
,BWEBDEV-7744,,8d 22h 5m,2d 19h 28m,,14d 0h 13m,10d 4h 45m,0d 3h 0m,,,,
,BWEBDEV-7728,,9d 5h 3m,3d 22h 58m,,22d 1h 55m,1d 2h 34m,,,,,
,BWEBDEV-7722,,0d 16h 0m,0d 0h 25m,,0d 0h 25m,0d 1h 36m,,,,36d 6h 25m,
,BWEBDEV-7712,,0d 0h 24m,1d 18h 4m,,0d 4h 34m,20d 0h 34m,,,,15d 2h 53m,
,BWEBDEV-7699,,0d 0h 0m,,,0d 5h 24m,6d 17h 19m,,,,30d 8h 16m,
,BWEBDEV-7696,,6d 1h 13m,9d 23h 1m,,,7d 23h 7m,,,,13d 8h 30m,
,BWEBDEV-7694,,0d 7h 37m,0d 15h 34m,,0d 0h 28m,4d 21h 13m,0d 1h 53m,,,31d 9h 36m,
,BWEBDEV-7692,,0d 0h 27m,0d 0h 40m,,0d 3h 34m,5d 20h 3m,,,,31d 8h 30m,
,BWEBDEV-7682,,0d 20h 13m,1d 1h 23m,,4d 22h 22m,0d 0h 22m,,,,31d 7h 34m,
,BWEBDEV-7672,,16d 2h 33m,,,0d 0h 3m,1d 1h 34m,1d 0h 40m,,,20d 1h 58m,
,BWEBDEV-7671,,0d 23h 6m,2d 4h 55m,,0d 18h 0m,7d 4h 19m,0d 0h 0m,,,27d 4h 34m,
,BWEBDEV-7665,,17d 15h 7m,,,6d 1h 24m,0d 5h 24m,,,,16d 3h 19m,
,BWEBDEV-7817,,29d 17h 31m,1d 4h 31m,,1d 18h 22m,3d 14h 40m,3d 19h 10m,0d 0h 46m,,,
,BWEBDEV-7662,,1d 22h 46m,2d 22h 31m,,11d 3h 8m,0d 20h 11m,,,,23d 8h 37m,
,BWEBDEV-7661,,3d 0h 31m,0d 2h 46m,,0d 2h 46m,5d 15h 41m,,,,31d 9h 55m,
