Type,Key,Summary,Resolution Date,Open,NEW!,Investigation,Ready for Refinement,On Hold,Waiting for Answer,In Progress,Code review,Ready for Testing,In Testing,Pending,Canceled,Done,,,,,
Production bug,PAYLYNX-793,Without header for some devices obstructed view visibility is limited,6/3/25,70.95h,,,,,,1.32h,1.37h,16.40h,6.02h,,,7916.45h,,,,,
,PAYLYNX-792,Debtor IBAN missing in Urbo bank payment,,,71.03h,1010.65h,,,0.00h,,,,,,,6936.70h,,,,,
,PAYLYNX-791,Verify if balance decimal precision is shown correctly,5/30/25,1.58h,,,,,,0.00h,0.00h,0.00h,19.43h,,,8018.47h,,,,,
,PAYLYNX-790,What is wrong with Payment,,,1.50h,24.93h,,,,,,,,,,8013.32h,,,,,
,PAYLYNX-789,"Payment is in executed status, but funds are not settled to merchant's account",7/14/25,,1.87h,1102.80h,,,,,,,,,,6912.43h,,,,,
,PAYLYNX-788,EXP: SETTLED notification not reaching from NC,6/3/25,0.03h,,,,,,115.42h,,19.75h,0.12h,,,7919.02h,,,,,
,PAYLYNX-787,Polishing Refund swagger documentation before release to public,6/20/25,361.85h,,,,,,139.25h,3.27h,1.52h,44.62h,,,7513.98h,,,,,
,PAYLYNX-786,Telehansa accounts for internal/external tests,,,27.28h,,,,,,,,,,,8039.83h,,,,,
,PAYLYNX-785,allow 009 version in new agreement,,,1.20h,,,,,,,,,,,8085.70h,,,,,
,PAYLYNX-784,STAR: improve Refund related labels,6/20/25,473.77h,,,,,,132.43h,16.47h,19.77h,166.72h,,,7370.52h,,,,,
,PAYLYNX-783,Disable Open Query,,,2.80h,,,,,,,,,,,8181.83h,,,,,
,PAYLYNX-782,009 acceptane for API agreement,,,0.20h,,,,,,,,,,,8184.75h,,,,,
,PAYLYNX-781,ID: APOLLO_PAY problem,,0.25h,0.38h,118.33h,,,0.00h,,,,,,,8066.63h,,,,,
,PAYLYNX-780,MTÜ RÕÕMSAD HÜPPED banklink problem and today HELGE KOOL MTÜ problem,,,0.18h,,,,,,,,,,,8206.88h,,,,,
,PAYLYNX-779,Report of resident and non-resident payments in LV,,,621.38h,,,,,,,,,,,7607.12h,,,,,
,PAYLYNX-778,Warden Alerts are apamming OC,,1.47h,,,,,,0.00h,19.23h,2.17h,0.00h,0.00h,,8209.23h,,,,,
,PAYLYNX-777,Core renovate failed,5/22/25,3.55h,,,,,,0.00h,17.40h,2.15h,,,,8209.27h,,,,,
,PAYLYNX-776,"Exp, connection timeouts",5/20/25,0.08h,,,,,,0.33h,0.00h,0.00h,0.43h,,,8250.73h,,,,,
,PAYLYNX-775,merchant ID: FANS,,,694.07h,,,,,,,,,,,7557.72h,,,,,
,PAYLYNX-774,"Warden , change status for payment ,doesn't work",,199.02h,,,,,,73.20h,,32.28h,29.65h,,,7919.15h,,,,,
,PAYLYNX-773,API?,,,3.22h,,,,1318.15h,,,,,,,6935.52h,,,,,
,PAYLYNX-772,Core PROD DB migration to Frankfurt,,8280.98h,,,,,,,,,,,,,,,,,
,PAYLYNX-771,Core DEV DB migration to Frankfurt week 26,7/25/25,937.57h,,,,,,3.82h,,,,665.85h,,6673.93h,,,,,
Test,PAYLYNX-770,Core TEST DB migration to Frankfurt,10/29/25,3437.85h,,,,,,289.07h,,,24.33h,167.78h,,4362.15h,,,,,
,PAYLYNX-769,MB Core: in refund table fill merchantId and country fields,5/28/25,287.68h,,,,,,,,,,,8065.40h,,,,,,
,PAYLYNX-768,Merchant ID: BPARADIZE,,,90.93h,,,,2.13h,,,,,,,8278.82h,,,,,
,PAYLYNX-767,Test OpenBanking fix for reading user settings to hide account balance,7/31/25,1867.77h,,,,,,0.00h,0.00h,0.00h,1.47h,,,6528.72h,,,,,
,PAYLYNX-766,fix UI test,5/15/25,0.02h,,,,,,0.63h,20.07h,0.50h,0.02h,,,8377.22h,,,,,
,PAYLYNX-765,Merchant ID: KURSI,,,3.93h,,,,525.58h,,,,,,,7871.87h,,,,,
,PAYLYNX-764,Refund: improve daily limit calculation by excluding failed Refund attempts,6/17/25,192.05h,,,,,,188.05h,164.85h,0.62h,295.23h,,,7578.90h,,,,,
,PAYLYNX-763,changing certificates,,,0.87h,,,,139.48h,,,,,,,8280.90h,,,,,
,PAYLYNX-762,Report to support business on migration - 23rd of May,5/27/25,229.20h,,,,,,0.90h,,109.38h,,,,8085.62h,,,,,
,PAYLYNX-761,SKYTECH1 MBBL,,2906.27h,,,,,,,,,,,5521.07h,,,,,,
,PAYLYNX-760,Fix reported data quality issues for MDM Agreement summary,6/6/25,549.38h,,,,,,51.60h,0.00h,0.00h,0.00h,,,7842.55h,,,,,
,PAYLYNX-759,Remove pdf from payment status page for PR/MRQ,6/3/25,381.67h,,,,,,120.47h,7.57h,17.18h,0.82h,,,7921.23h,,,,,
,PAYLYNX-758,ibank: Change ŠB name to Artea in donation page,5/13/25,23.00h,,,,,,0.73h,,0.00h,,,,8425.65h,,,,,
,PAYLYNX-757,Adapt for HUB changes for Luminor Instant payment,,8514.97h,,,,,,,,,,,,,,,,,
,PAYLYNX-756,when this ID was used last time,,,65.77h,,,,73.40h,,,,,,,8377.43h,,,,,
,PAYLYNX-755,problems with payments,,,0.20h,73.80h,,,1510.53h,,,,,,,6936.18h,,,,,
,PAYLYNX-754,downgrade openapi_version to 2.8.5,9/16/25,3125.52h,,,,,,,,,,,,5397.98h,,,,,
,PAYLYNX-753,"MBBL LT, merchant ID- FAKTO",7/14/25,,0.20h,1.63h,,,1604.72h,,,,,,,6912.22h,,,,,
,PAYLYNX-752,Investigate how to setup deletion rule for logs in Logread,9/4/25,2805.25h,,,,,,20.28h,46.00h,,,,,5690.65h,,,,,
,PAYLYNX-751,Implement MBBL Andromeda logs to Logread,9/24/25,1702.57h,,,,,,1632.20h,,,,17.55h,,5209.98h,,,,,
,PAYLYNX-750,Ibank sonar issues,5/14/25,2.03h,,,,,,55.42h,63.17h,3.45h,39.60h,,,8402.50h,,,,,
,PAYLYNX-749,Failed Citadele LT payment,,0.00h,,,,,,,,,,,8566.62h,,,,,,
,PAYLYNX-748,Release Warden application to PROD,5/21/25,147.28h,,,,,,188.03h,,,,,,8233.28h,,,,,
,PAYLYNX-747,Console: in test environment direct links to Star (LT and LV) are not working,,0.23h,,,,,,50.58h,67.98h,0.00h,2.78h,,,8448.57h,,,,,
,PAYLYNX-746,when this ID was used last time,,,1.37h,,,,191.63h,,,,,,,8377.48h,,,,,
,PAYLYNX-745,Order old DB deletion - PROD,4/3/26,7859.60h,,,,,,50.50h,,36.30h,0.43h,,,624.68h,,,,,
,PAYLYNX-744,Migrate to new DB server in STO part2 - PROD,1/15/26,6079.35h,,,,,,,,,,,2492.22h,,,,,,
,PAYLYNX-743,Migrate to new DB server in STO part2 - TEST,7/16/25,1682.60h,,,,,,,,,,,6888.97h,,,,,,
,PAYLYNX-742,Migrate to new DB server in STO - PROD - 19-20FEB,2/20/26,5405.65h,,,,,,506.07h,,4.23h,0.00h,1029.85h,,1625.75h,,,,,
,PAYLYNX-741,Migrate to new DB server in STO part1 - TEST,7/16/25,1351.28h,,,,,,330.97h,,,,,,6889.33h,,,,,
,PAYLYNX-740,Order new DB server to Stockholm DC - PROD,7/30/25,1705.35h,,,,,,293.75h,,18.22h,,,,6554.28h,,,,,
,PAYLYNX-739,Order new DB server to Stockholm DC - TEST,7/1/25,1011.48h,,,,,,315.70h,,0.00h,,,,7244.42h,,,,,
,PAYLYNX-738,EXP technical error for status,5/12/25,7.73h,,,,,,48.80h,71.15h,0.38h,8.90h,,,8442.12h,,,,,
,PAYLYNX-737,EXP unmapped errors,5/13/25,7.90h,,,,,,56.67h,63.25h,27.62h,2.63h,,,8421.17h,,,,,
,PAYLYNX-736,URL,,,1.60h,,,,1653.95h,,,,,,,6935.52h,,,,,
,PAYLYNX-735,SQL error,5/6/25,0.42h,,,,,,5.42h,0.00h,0.00h,3.28h,,,8584.18h,,,,,
,PAYLYNX-734,closing ID,,,4.85h,,,,212.08h,,,,,,,8377.50h,,,,,
,PAYLYNX-733,when this ID was used last time?,,,17.08h,,,,218.03h,,,,,,,8377.52h,,,,,
,PAYLYNX-732,when this ID was used last time?,,,17.12h,,,,218.00h,,,,,,,8377.52h,,,,,
,PAYLYNX-731,problems with PIS service,,,1.02h,,,,1681.83h,,,,,,,6935.50h,,,,,
Production bug,PAYLYNX-730,"LT: Montly reports, fee calculation, errors, no reports in email",5/20/25,271.30h,,,,,,45.92h,122.10h,0.02h,,,,8251.88h,,,,,
,PAYLYNX-729,Worker transactionId missing from notification,,0.00h,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
