Type,Key,Summary,Resolution Date,Open,Ready for Refinement,Investigation,Reopened,In Development,Refined,Ready for test,In Testing,Blocked,Waiting for acceptance,Done,Abandoned,,,,,,
,SOL-1527,[Kafka][MVP]Investigate what messages and why end up in Kafka topic w670.tphb.iwh.raw_rejected,2/24/26,0.00h,1.55h,,,24.98h,307.38h,,,,,1534.85h,,,,,,,
,SOL-1526,[IT Maintenance] DRT testing,,1890.72h,,,,,,,,,,,,,,,,,
,SOL-1525,[IT Maintenance] Container vulnerabilities,,0.00h,,20.52h,,1870.22h,,,,,,,,,,,,,
,SOL-1524,[IT Maintenance] Review system documentation,,1890.90h,,,,,,,,,,,,,,,,,
,SOL-1523,[Booking automation] create BOOKING-PODM automated tests for podm_credited_remit_trn_updated scenario,2/11/26,0.00h,,,,46.08h,,,,,,1846.40h,,,,,,,
,SOL-1522,[MVP][API] Develop Error Code lookup API,3/20/26,21.28h,2.95h,1.18h,,270.62h,233.98h,355.87h,47.60h,,,959.27h,,,,,,,
,SOL-1521,[Booking automation] create BOOKING-PODM automated tests for podm_credited_account_number_updated scenario,2/9/26,0.03h,,,,5.50h,,,,,,1892.55h,,,,,,,
,SOL-1520,"When FNDS received for outgoing payment, pass the value in SUCCESS response to TPH",,1962.37h,,,,,,,,,,,,,,,,,
,SOL-1519,[Booking automation] create ability for BOOKING-PODM automation to insert creditor iban and id,2/9/26,0.00h,,,,65.57h,,,,,,1897.47h,,,,,,,
,SOL-1517,[TPH] [EndaToEnd] Agent charges - possibility to take FX Rates from BD,3/4/26,0.07h,267.35h,,,142.47h,214.45h,,,,,1342.43h,,,,,,,
,SOL-1516,[TPH] [EndaToEnd] Agent charges - implement to run triggers manually on demand,2/25/26,0.02h,267.60h,,,17.95h,167.62h,,,,,1513.82h,,,,,,,
