Type,Key,Summary,Resolution Date,Open,Investigation,Ready for Refinement,Reopened,On Hold,To Do,Backlog,ON-HOLD testing,In Testing,Refined,In Development,Ready for test,Blocked,Selected for Development,In Progress,Waiting for acceptance,Done,Abandoned
Production bug,PAYME-404,[EPE] Payment is not credited after error Balance record is locked (follow up),11/15/23,1095.38h,1.78h,,,,,,2.33h,97.55h,27.53h,0.00h,,,,,21499.72h,,
Production bug,PAYME-403,[ibank] Payment List form execution logical errror,11/27/23,1080.20h,0.00h,23.05h,0.00h,,,,0.00h,1.20h,260.28h,125.23h,,,,,21214.20h,,
,PAYME-402,[ISO-exchange] [PROD] [ORDER] Add new network policies in P cluster,11/20/23,1062.15h,0.00h,,,,,,0.00h,261.40h,0.00h,0.00h,,,,,21381.83h,,
,PAYME-401,"[ISO-exchange] [DEV, GATE, TEST] Setup application monitoring and alerting",11/8/23,816.17h,0.00h,,,,,,5.38h,214.72h,0.00h,0.00h,,,,,21669.15h,,
Production bug,PAYME-405,[payment-archive-service] EE is full of errors every day: IO Error: Socket read timed out,10/11/23,0.05h,28.20h,,,,,,282.63h,29.07h,23.60h,2.95h,,,,,22339.07h,,
,PAYME-400,"[ISO-exchange] [TEST, PROD] Enable archiving solution for logs",11/28/23,815.92h,0.00h,,0.00h,,,,0.00h,246.80h,0.00h,454.05h,,,,,21189.28h,,
,PAYME-399,[ISO-exchange] [ORDER] NFS shares for logs in the openshift,11/9/23,411.38h,0.00h,,,,,,0.00h,648.05h,0.00h,0.00h,,,,,21646.72h,,
,PAYME-398,[ISO-exchange] [PROD] Start up application in openshift,1/24/24,1064.93h,0.00h,,,,,,1820.82h,0.68h,0.00h,0.00h,,,,,19819.83h,,
,PAYME-397,[ISO-exchange] [PROD] Order and setup VIP (F5),11/14/23,1065.08h,0.00h,,,,,,16.95h,95.63h,0.00h,0.00h,,,,,21528.77h,,
,PAYME-396,[DB] Fill missing clearing system information for incoming SCT (FF),10/5/23,0.02h,149.23h,,,,,,18.27h,49.87h,0.13h,0.40h,,,,,22488.52h,,
,PAYME-395,[ISO-exchange] [TEST] Order and setup VIP (F5),10/30/23,742.75h,0.00h,,,,,,0.00h,81.87h,0.00h,0.00h,,,,,21881.85h,,
,PAYME-394,[ISO-exchange] [GATE] Order and setup VIP (F5),10/25/23,504.62h,0.00h,,,,,,6.80h,188.45h,0.00h,0.00h,,,,,22006.60h,,
,PAYME-393,[ISO-exchange] [DEV] Order and setup VIP (F5),10/25/23,428.57h,0.00h,,,,,,0.00h,288.05h,0.00h,0.02h,,,,,22006.65h,,
,PAYME-515,[SEPA-WEB] Show payments flow parameter in Sepa-web user interface,11/30/23,0.00h,1529.52h,,,,,,0.00h,0.23h,49.98h,2.82h,,,,,21140.88h,,
,PAYME-392,[ISO-exchange] [PROD] Set up SSO for web UI,12/14/23,1082.18h,0.00h,,,,,,835.30h,,0.00h,0.02h,,,,,20805.97h,,
,PAYME-391,[ISO-exchange] [TEST] Set up SSO for web UI,11/30/23,833.32h,0.00h,,,,,,0.00h,746.68h,0.00h,0.00h,,,,,21143.47h,,
,PAYME-390,[ISO-exchange] [GATE] Set up SSO for web UI,11/8/23,500.60h,0.00h,,,,,,0.00h,553.72h,0.00h,0.00h,,,,,21669.17h,,
,PAYME-389,[ISO-exchange] [TEST] Start up application in openshift,11/9/23,833.33h,0.02h,,,,,,0.00h,246.80h,0.00h,0.00h,,,,,21643.37h,,
,PAYME-388,[ISO-exchange] [GATE] Start up application in openshift,10/26/23,430.73h,0.00h,,,,,,0.00h,313.83h,0.00h,0.00h,,,,,21978.95h,,
,PAYME-387,[ISO-exchange] [DEV] Start up application in openshift,10/17/23,403.52h,0.00h,,,,,,2.15h,25.05h,0.00h,96.48h,,,,,22196.32h,,
,PAYME-386,[ISO-exchange] Refactor project to start build process in Cloudbees (Jenkins),10/12/23,263.73h,0.00h,,,,,,0.05h,144.93h,0.00h,0.00h,,,,,22314.87h,,
,PAYME-385,[ISO-exchange] Setup new Jenkins project in casc,10/12/23,241.10h,0.00h,,,,,,16.63h,95.32h,4.15h,51.65h,,,,,22314.87h,,
,PAYME-384,[ISO-exchange] Change LDAP server in db connectors,10/12/23,405.63h,0.00h,,,,,,0.35h,1.05h,0.00h,0.00h,,,,,22318.62h,,
,PAYME-373,[ISO-exchange][ORDER] W670 Add to service account(CI/CD) rights to be admin iso-exchange forked repo,10/5/23,314.47h,0.00h,,,,,,,,,,,,,,22482.65h,,
,PAYME-372,[ISO-exchange][ORDER] W670 Fill check list for iso-exchange,10/6/23,288.45h,0.00h,,,,,,26.00h,22.92h,0.00h,0.00h,,,,,22459.77h,,
,PAYME-371,[ISO-exchange][ORDER] W670 Assign Bitbacket AD group to service account,10/5/23,288.47h,0.00h,,,,,,20.68h,5.30h,0.00h,0.00h,,,,,22482.72h,,
,PAYME-370,[ISO-exchange][ORDER] W670 Create Bitbacket AD group,10/5/23,288.48h,0.00h,,,,,,19.35h,1.18h,0.00h,0.00h,,,,,22488.15h,,
,PAYME-369,[ISO-exchange][ORDER] W670 Create fork repos for iso-exchange,10/5/23,288.50h,0.00h,,,,,,20.13h,2.28h,0.00h,0.00h,,,,,22486.28h,,
,PAYME-368,[ISO-exchange][ORDER] W670 Order Artifactory project,10/5/23,288.50h,0.00h,,,,,,19.35h,1.18h,0.00h,0.00h,,,,,22488.17h,,
,PAYME-367,[ISO-exchange][ORDER] W670 Artifactory repositories ORDER,10/5/23,288.52h,0.00h,,,,,,20.68h,0.55h,0.00h,0.00h,,,,,22487.45h,,
,PAYME-366,[ISO-exchange][ORDER] W670 Artifactory AD group order,10/5/23,288.53h,0.00h,,,,,,19.33h,1.18h,0.00h,0.00h,,,,,22488.17h,,
,PAYME-365,[ISO-exchange][ORDER] W670 Order service account for artifactory,10/5/23,287.83h,0.00h,,,,,,0.68h,20.63h,0.00h,0.00h,,,,,22488.13h,,
,PAYME-363,[ISO-exchange][ORDER] W670 artifactory for app,10/5/23,289.42h,0.00h,,0.00h,,,,19.35h,6.65h,0.00h,0.00h,,,,,22482.70h,,
,PAYME-362,"[ISO-exchange][TEST, GATE, DEV][ORDER] W670 open firewall from Z cluster",10/12/23,268.97h,0.00h,,,,,,21.88h,186.40h,0.00h,0.72h,,,,,22321.60h,,
,PAYME-361,[ISO-exchange][PROD][ORDER] W670 open firewall from p cluster,10/12/23,269.00h,0.00h,,,,,,43.83h,164.45h,0.00h,0.63h,,,,,22321.70h,,
,PAYME-360,[ISO-exchange][PROD] W670 new namespace P cluster,10/5/23,269.03h,0.00h,,,,,,15.27h,27.33h,0.00h,0.00h,,,,,22488.03h,,
,PAYME-359,[ISO-exchange][GATE] W670 new namespace for Z cluster,10/5/23,269.07h,0.00h,,,,,,15.22h,6.67h,18.35h,0.00h,,,,,22490.38h,,
,PAYME-358,[ISO-exchange][DEV] W670 new namespace for Z cluster,10/5/23,269.08h,0.00h,,,,,,15.22h,6.67h,18.35h,0.00h,,,,,22490.38h,,
Production bug,PAYME-364,[EPE] Payment is not credited after error Balance record is locked,9/26/23,3.65h,72.93h,,,,,,23.57h,0.98h,0.48h,0.00h,,,,,22699.88h,,
,PAYME-697,Create wiki page with instructions,5/22/24,5118.25h,0.00h,,,,,,233.38h,5.73h,476.28h,0.00h,,,,,16968.42h,,
,PAYME-348,EINVOICES SOA: incorrect label is shown in SOA view,10/2/23,95.67h,0.00h,23.87h,0.00h,,,,0.20h,73.23h,72.48h,68.63h,,,,,22560.30h,,
Production bug,PAYME-346,[STAR] Showing proper labels in SOA in STAR (LV),9/29/23,0.10h,0.07h,24.22h,0.00h,,,,65.03h,73.08h,146.67h,23.77h,,,,,22631.03h,,
Production bug,PAYME-347,Sepa-transfer fix 008.02 Credit Transfer message parsing rules,9/26/23,0.02h,0.00h,1.65h,,,,,0.00h,68.13h,122.78h,73.25h,,,,,22698.65h,,
,PAYME-357,[ISO-exchange][TEST] W670 new namespace Z cluster,10/5/23,459.53h,0.00h,,,,,,0.00h,21.90h,18.35h,0.00h,,,,,22490.38h,,
,PAYME-420,STAR: add validation to beneficiary's structured address in foreign standing order,10/31/23,0.00h,695.73h,142.25h,,,,,0.03h,98.68h,99.13h,94.68h,,,,,21862.47h,,
,PAYME-422,STAR: add validation to beneficiary's structured address in predefined foreign payments,10/31/23,0.07h,695.75h,155.65h,,,,,0.02h,98.68h,173.50h,7.38h,,,,,21862.00h,,
,PAYME-345,Ibank: NullPointerException on trying to open RT1 payment,9/25/23,42.83h,0.00h,,,,,,0.00h,30.17h,233.85h,3.68h,,,,,22725.68h,,
Production bug,PAYME-343,[Ibank] User error upon checking limit in smart payment form,9/29/23,0.02h,138.38h,,,,,,0.00h,6.67h,333.10h,46.55h,,,,,22630.55h,,
,PAYME-336,[openshift] Lot's of monitoring alerts comes due to issues with discovery service,9/12/23,0.00h,0.00h,,,,,,0.00h,122.40h,0.00h,0.00h,,,,,23035.78h,,
,PAYME-335,[FP] Duplicated SEPA addresses for incoming payments after RB start,9/28/23,120.10h,4.65h,,,,,,18.03h,120.55h,242.68h,4.37h,,,,,22651.42h,,
,PAYME-330,[STAR] Incoming international payment form:In case multiple IDs - wrong shown,10/3/23,115.08h,0.00h,,,,,,0.00h,,503.53h,145.93h,,,,,22536.60h,,
,PAYME-329,[ibank] [Star] Incoming international payment multiple ID,9/29/23,92.83h,0.00h,20.82h,25.03h,,,,0.00h,1.37h,408.10h,126.43h,,,,,22628.43h,,
Production bug,PAYME-334,[Ibank] Payment details reverts in salary payment after changing in ibank,9/26/23,0.00h,164.62h,,,,,,0.00h,148.22h,330.87h,1.28h,,,,,22703.90h,,
,PAYME-419,STAR: add validation to beneficiary's structured address in foreign payments,10/31/23,1.15h,1053.75h,139.55h,,,,,0.02h,98.72h,173.82h,21.87h,,,,,21863.30h,,
Production bug,PAYME-328,[sepatransfer] camt.056. <AddtlInf> is not filled in message.,9/5/23,0.65h,0.00h,,0.00h,,,,0.00h,1.65h,0.25h,146.33h,,,,,23204.30h,,
,PAYME-325,[DB CORE] create EE final version of view VM.VW_SEPA_POST_ADDRESS_ARH,9/13/23,0.03h,0.00h,,,,,,208.03h,96.42h,47.37h,2.63h,,,,,23015.63h,,
,PAYME-324,[DB CORE] create missing view VM.VW_SEPA_POST_ADDRESS_ARH,8/30/23,4.32h,0.00h,,,,,,0.00h,0.05h,16.00h,0.25h,,,,,23353.87h,,
,PAYME-320,[DB CORE] add missing columns in view VM.VW_SEPA_CREDIT_TRANSFER_ARH,8/30/23,0.00h,0.00h,,,,,,0.00h,21.23h,20.38h,1.68h,,,,,23352.43h,,
,PAYME-317,[CORE DB] Inserts for OUT payments with changed value date,10/9/23,1013.23h,0.00h,,,,,,0.00h,0.00h,0.00h,0.00h,,,,,22390.53h,,
,PAYME-339,To investigate service discovery issues,9/25/23,429.58h,0.00h,,0.03h,,,,0.00h,29.07h,0.00h,303.75h,,,,,22732.02h,,
,PAYME-338,Update LDAP tns to use Stockholm one to connect CORE DB,9/12/23,0.02h,429.68h,,,,,,0.00h,29.10h,0.00h,0.03h,,,,,23035.72h,,
,PAYME-377,[DB] Create table for storing camt.058 data,10/5/23,94.10h,291.98h,,385.20h,,,,0.93h,169.83h,17.47h,51.67h,,,,,22484.92h,,
,PAYME-378,[DB] Update PAYMENTS_ISO.CANCELLATION_REQUEST,10/10/23,0.10h,773.93h,,,,,,235.65h,3.08h,45.17h,72.32h,,,,,22368.38h,,
,PAYME-626,STAR: FP view enhancement,3/13/24,4322.62h,0.45h,91.55h,165.20h,,,,0.02h,26.12h,168.85h,98.08h,,,,,18647.93h,,
,PAYME-421,STAR: Correspondent and Intermediary banks information is hidden after validation,10/30/23,0.58h,1224.18h,26.48h,,,,,98.72h,22.88h,93.15h,169.08h,,,,,21886.90h,,
,PAYME-341,"STEP2, foreign, Sept 19: send and receive pacs.008.01.08 (with new tags)",9/28/23,0.00h,501.28h,,,,,,0.00h,,0.00h,384.77h,,,,,22655.48h,,
,PAYME-355,"STEP2, domestic, Sept 19: send and receive pacs.008.01.08 (with new tags)",10/20/23,0.02h,886.10h,,,,,,0.00h,,0.00h,531.10h,,,,,22124.33h,,
,PAYME-354,"STEP2, domestic, Sept 14: send and receive pacs.008.01.08 (fee payment)",10/26/23,0.00h,984.47h,,,,,,0.02h,,0.00h,573.55h,,,,,21983.53h,,
,PAYME-353,"STEP2, domestic, Sept 13: send and receive camt.029.001.09",10/25/23,0.00h,816.02h,,,,,,0.00h,,0.00h,721.47h,,,,,22004.15h,,
,PAYME-352,"STEP2, domestic, Sept 12: send and receive pacs.028.001.03",10/19/23,0.05h,815.93h,,,,,,0.00h,,0.00h,577.40h,,,,,22148.33h,,
,PAYME-351,"STEP2, foreign, Sept 11: receive camt.087.001.06",10/17/23,0.05h,984.62h,,,,,,0.02h,,0.00h,357.75h,,,,,22199.35h,,
,PAYME-349,"STEP2, domestic, Sept 11: receive camt.087.001.06",10/4/23,0.07h,984.60h,,,,,,0.03h,,0.00h,50.85h,,,,,22506.27h,,
,PAYME-337,"STEP2, domestic, Sept 7: send and receive camt.027.001.07",10/6/23,0.13h,407.92h,,,,,,0.00h,,0.00h,673.02h,,,,,22460.90h,,
,PAYME-340,"STEP2, domestic, Sept 6: send and receive pacs.028.001.03",10/4/23,0.07h,480.90h,,,,,,0.00h,,0.00h,554.92h,,,,,22506.50h,,
,PAYME-342,"STEP2, foreign, Sept 5: send and receive camt.029.001.09",10/11/23,0.05h,523.32h,,,,,,0.00h,,0.00h,678.10h,,,,,22340.92h,,
,PAYME-350,"STEP2, domestic, Sept 5: send and receive camt.029.001.09",10/11/23,0.08h,816.65h,,,,,,0.00h,,0.00h,384.78h,,,,,22340.97h,,
,PAYME-333,"STEP2, foreign, Sept 4: send and receive pacs.004.001.09",9/27/23,2.45h,309.62h,,,,,,0.00h,,0.00h,554.18h,,,,,22678.53h,,
,PAYME-332,"STEP2, domestic, Sept 4: send and receive pacs.004.001.09",9/21/23,2.37h,309.75h,,,,,,0.00h,,0.00h,405.75h,,,,,22826.98h,,
,PAYME-327,"STEP2, foreign, Aug 30: send and receive camt.056.001.08",10/6/23,0.50h,190.80h,,,,,,0.02h,,0.00h,893.25h,,,,,22460.82h,,
,PAYME-326,"STEP2, domestic, Aug 30: send and receive camt.056.001.08",10/6/23,0.57h,190.78h,,,,,,0.00h,,0.00h,893.23h,,,,,22460.85h,,
,PAYME-322,"STEP2, foreign, Aug 29: send and receive pacs.008.01.08",9/11/23,0.58h,165.23h,,,,,,0.02h,,0.00h,318.13h,,,,,23061.48h,,
,PAYME-321,"STEP2, domestic, Aug 29: send and receive pacs.008.01.08",9/8/23,0.63h,165.23h,,,,,,0.00h,,0.00h,244.87h,,,,,23134.77h,,
,PAYME-315,"STEP2, foreign, Aug 25: send and receive pacs.008.01.02",8/25/23,0.00h,87.70h,,,,,,0.02h,,0.00h,5.08h,,,,,23469.67h,,
,PAYME-316,"STEP2, domestic, Aug 25: send and receive pacs.008.01.02",8/25/23,0.00h,89.63h,,,,,,0.03h,,0.00h,0.92h,,,,,23471.93h,,
,PAYME-313,[FP] Do not save LVMK.MAKSE_SONUM for ISO manual input,10/4/23,0.00h,0.02h,,,,,,96.63h,18.98h,763.83h,243.82h,,,,,22512.88h,,
,PAYME-310,[CORE DB] insert rules,9/14/23,0.00h,96.00h,,,,,,258.58h,5.28h,283.88h,0.58h,,,,,23016.42h,,
Production bug,PAYME-312,[FP] Incorrect account used in transaction of manually entered outgoing payment,8/23/23,0.27h,98.88h,,,,,,20.20h,24.32h,4.65h,0.13h,,,,,23515.75h,,
,PAYME-314,[ISO exchange] update CreDt & CreDtTm in a message if value date was changed,10/10/23,0.03h,267.93h,,,,,,546.42h,342.12h,113.95h,29.85h,,,,,22364.52h,,
Production bug,PAYME-311,[FP] ISO error invalid currency code or too many decimal digits,8/28/23,17.17h,101.48h,71.18h,,,,,43.55h,28.62h,23.82h,1.03h,,,,,23396.93h,,
,PAYME-375,[FP] Support camt.055 and camt.058 in ISO message search,10/13/23,0.00h,841.70h,,142.80h,,,,145.28h,239.33h,42.87h,0.10h,,,,,22296.85h,,
,PAYME-379,[DB] Add camt.055 and camt.058 reasons to PAYMENTS_ISO.REASON_CODE,10/11/23,0.10h,841.57h,,143.00h,,,,239.12h,19.28h,122.02h,0.43h,,,,,22343.72h,,
,PAYME-382,[FP] Process incoming camt.055 manually,10/18/23,0.00h,769.40h,1.15h,310.73h,,,,168.63h,217.40h,139.17h,24.72h,,,,,22173.30h,,
,PAYME-383,[FP] Process incoming camt.058 manually,10/18/23,0.03h,292.28h,,787.85h,,,,384.58h,,166.78h,1.87h,,,,,22171.15h,,
,PAYME-380,[ISO Exchange] API support for CBPR+ camt.058,10/27/23,0.63h,291.87h,,789.65h,,,,187.65h,335.95h,173.28h,66.20h,,,,,21961.37h,,
Production bug,PAYME-302,[FP] Cannot accept MT202,8/15/23,0.08h,0.02h,23.17h,,,,,0.00h,71.63h,0.50h,1.68h,,,,,23713.37h,,
,PAYME-300,[openshift] Use old swedbank gradle wrapper,8/9/23,0.00h,0.00h,,5.37h,,,,0.00h,17.87h,0.00h,0.40h,,,,,23857.03h,,
Production bug,PAYME-299,[FP] Incorrect return amount is calculated for manual return if charges requested,8/18/23,0.52h,93.23h,,,,,,0.00h,72.38h,91.43h,6.00h,,,,,23636.70h,,
,PAYME-298,"[FP] If ""Instr. for creditor agent"" is filled, pacs.009.001.08COV is not sent",8/18/23,0.22h,73.05h,,,,,,18.63h,148.20h,72.90h,19.53h,,,,,23641.70h,,
,PAYME-297,[FP] Send camt.029 ResolutionOfInvestigation (RJCT) to CBPR+ - FP crash,8/16/23,0.00h,174.05h,,,,,,0.00h,71.57h,43.90h,1.03h,,,,,23689.17h,,
,PAYME-296,[openshift] Try to provision pvc volumes with helm chart,9/7/23,0.00h,0.00h,,,,,,475.20h,439.10h,0.00h,0.00h,,,,,23161.40h,,
,PAYME-294,DEMO: Payment Service setup on OpenShift,7/25/23,0.02h,0.00h,,,,,,0.00h,25.25h,0.00h,0.00h,,,,,24218.90h,,
,PAYME-293,[FP] Implement new Error message in FP system,7/31/23,0.00h,241.90h,,,,,,,,,,,,,,24066.95h,,
,PAYME-291,[CORE DB] Statuses for cancelled OBN payments in iBank,9/13/23,1.57h,21.93h,1.50h,938.22h,,,,96.10h,70.02h,212.43h,3.60h,,,,,23013.32h,,
Production bug,PAYME-290,[Ibank] User with many International payments gets an error when open List of payments,7/20/23,0.00h,18.10h,,,,,,0.00h,2.97h,1.87h,3.02h,,,,,24328.78h,,
,PAYME-289,[CORE DB] SCT can't be sent out after Rulebook start,7/24/23,0.02h,6.12h,,,,,,91.08h,7.45h,62.37h,0.00h,,,,,24243.40h,,
,PAYME-344,Payment Monitoring setup in 1 or 2 (many) clusters,9/27/23,1486.42h,0.00h,,,,,,0.00h,294.32h,0.00h,20.72h,,,,,22679.12h,,
,PAYME-287,Investigate archived log delivery to Logread,7/20/23,0.02h,0.00h,,,,,,70.77h,76.92h,0.00h,0.07h,,,,,24333.15h,,
,PAYME-286,[openshift] Make release git tags more usable,7/13/23,0.00h,0.00h,,,,,,0.00h,1.75h,0.00h,0.00h,,,,,24500.58h,,
,PAYME-908,[SEPA FLM] Decommission SEPA Transfer,2/12/25,13775.90h,0.00h,,,,,,0.00h,194.80h,0.00h,0.00h,,,,,10578.27h,,
,PAYME-285,[monitoring] Create rules to monitor and alert,7/13/23,0.00h,0.00h,,,,,,0.00h,52.73h,0.00h,0.00h,,,,,24499.58h,,
Production bug,PAYME-284,[iBank] NullPointerException on foreign payment opening,7/20/23,1.15h,0.00h,23.53h,,,,,0.00h,2.82h,260.48h,22.33h,,,,,24334.38h,,
,PAYME-283,[CORE] Insert rules in to vm.vmk_rules table,7/13/23,215.58h,0.00h,,,,,,0.00h,0.67h,15.97h,1.68h,,,,,24505.78h,,
,PAYME-281,[openshift] [test|gate] Create certificates for consumers and wiki page to track everything,7/10/23,0.00h,0.00h,,,,,,43.80h,117.70h,0.00h,0.00h,,,,,24579.68h,,
,PAYME-280,[CORE DB] Change VM.SEPA_CDM_API.CREATE_CT procedure,10/4/23,0.03h,70.47h,23.98h,,,,,401.98h,345.03h,1055.12h,283.67h,,,,,22607.38h,,
,PAYME-279,[CORE DB] Swedbank Denmark branch removal from Swedbank Group payments,7/14/23,0.70h,73.82h,,,,,,217.63h,8.88h,36.57h,2.15h,,,,,24475.65h,,
,PAYME-278,[STAR] Swedbank Denmark branch removal from Swedbank Group payments,7/14/23,0.72h,73.72h,,,,,,71.83h,187.20h,3.27h,0.20h,0.92h,,,,24477.58h,,
,PAYME-276,[CORE DB] Add REPLACE_BIC rules to VM.VMK_RULES,7/17/23,0.03h,93.53h,,,,,,3.82h,212.77h,114.25h,0.10h,,,,,24410.28h,,
,PAYME-275,[DB] Create payment offline queue and procedure,7/11/23,166.10h,0.00h,,,,,,0.72h,0.00h,144.45h,0.00h,,,,,24549.98h,,
,PAYME-274,[iBank] Do not show message copy for cancelled payment,7/12/23,0.32h,144.82h,,,,,,68.15h,27.48h,116.95h,1.02h,,,,,24527.45h,,
,PAYME-628,[STAR] In E-invoice detailed view to see if e-invoice was received from operator as abstract or from other bank in STAR PB,4/18/24,5878.02h,149.27h,185.82h,,,,,18.43h,273.27h,261.00h,119.93h,215.18h,,,,17785.70h,,
Test,PAYME-272,Remove crebit.lisa_mitteklient usages,8/7/23,983.75h,,,,,,,,,,,,,,,23905.17h,,
,PAYME-555,[ibank] Functionalities for customer without active accounts,1/29/24,4852.63h,0.00h,0.08h,,,,,0.00h,122.75h,138.58h,74.52h,,,,,19700.58h,,
,PAYME-270,[openshift] [prod] Namespaces & casc configuration,7/10/23,0.02h,0.00h,,,,,,142.03h,168.23h,0.00h,0.00h,,,,,24579.72h,,
,PAYME-266,test,6/22/23,0.00h,0.00h,,,,,,0.00h,,0.00h,0.00h,,,,,25007.78h,,
,PAYME-288,[DB] outgoing pacs.008 message OrgId/LEI mapping issue,7/18/23,98.42h,431.45h,,,,,,0.00h,,23.77h,71.58h,,,,,24383.30h,,
,PAYME-262,[openshift] [dev|test|gate] Add custom helm charts for payment-services-gateway,6/26/23,0.00h,0.00h,,,,,,119.70h,0.85h,0.00h,0.00h,,,,,24912.98h,,
,PAYME-261,[montoring] [gate|test] Add application health check alerts,6/28/23,0.00h,0.00h,,,,,,143.62h,29.45h,0.00h,0.12h,,,,,24860.48h,,
,PAYME-260,[FP] Add warning for outgoing payments with clearing code,7/3/23,0.27h,120.57h,,4.77h,,,,47.40h,26.62h,96.45h,0.50h,,,,,24738.18h,,
,PAYME-253,[DB] Add rights,8/17/23,28.25h,0.00h,,,,,,0.03h,0.37h,154.12h,1.88h,,,,,24532.95h,336.07h,
,PAYME-252,[FP] BIC replacement for SBEC Own transfers,7/17/23,0.90h,0.28h,22.67h,20.28h,,,,192.78h,26.62h,402.07h,4.28h,,,,,24406.12h,,
,PAYME-251,[FP] Mark 'Pay thru RTGS' automatically for own transfer to RTGS,8/18/23,0.17h,21.68h,64.32h,,,,,1170.68h,169.08h,9.98h,2.23h,,,,,23638.33h,,
,PAYME-250,[iBank TEST] iBank timeouts - Mass Payments,7/20/23,0.07h,0.00h,,701.77h,,,,0.00h,28.30h,0.00h,0.00h,,,,,24323.37h,,
,PAYME-249,[CORE DB] Add message types '008' and '009' to 'UETR_COMPATIBLE_SWIFT_MT_LIST',6/26/23,0.02h,0.47h,,,,,,66.78h,0.00h,6.08h,90.07h,,,,,24914.23h,,
,PAYME-248,[ISO Exchange] Receive pacs.010 COL from CBPR+ (nov.23),8/11/23,20.37h,74.28h,,,,,,666.15h,528.72h,73.53h,4.17h,,,,,23804.35h,,
,PAYME-247,[CORE DB] Update PAYMENTS_ISO.REASON_CODE for PACS.002,7/3/23,0.28h,122.78h,,,,,,234.40h,30.30h,0.47h,67.33h,,,,,24744.63h,,
,PAYME-246,[ISO Exchange] API support for CBPR+ pacs.002.001.10,7/25/23,0.02h,123.22h,,0.62h,,,,639.10h,117.60h,104.70h,2.93h,,,,,24212.70h,,
Production bug,PAYME-245,[FP] Transit pacs.009 can't be sent out,7/10/23,0.03h,124.13h,70.90h,,,,,235.42h,95.07h,97.40h,1.43h,,,,,24577.00h,,
,PAYME-244,[CORE DB] Improvements for OBN x-border cancelled payments processing (2),7/20/23,0.00h,0.00h,,,,,,23.98h,142.75h,520.37h,177.38h,,,,,24337.33h,,
,PAYME-242,[iBank] investigate Mas payments massPaymentMaxEditableSize impact,6/13/23,6.70h,,,,,,,,,,,,,,,25219.45h,,
,PAYME-240,[dev] Payment services fails to build and has issues in deployed state,6/13/23,0.00h,0.00h,,,,,,0.00h,5.30h,0.00h,20.82h,,,,,25225.98h,,
Production bug,PAYME-241,[FP] Duplicate ISO messages are sent after unsuccessful foreign payment registration,8/20/23,64.92h,792.30h,,412.55h,,,,45.23h,289.65h,72.53h,71.55h,,,,,23590.05h,,
,PAYME-239,[FP] Additional info field changes for camt.029 (SEPA Recall Refuse),6/26/23,0.18h,21.28h,,95.32h,,,,0.00h,,214.22h,98.92h,,,,,24912.48h,,
,PAYME-238,[FP] Additional info field changes for pacs.004 (Return),8/2/23,0.18h,116.98h,757.22h,,,,,0.00h,,315.03h,134.95h,,,,,24018.45h,,
Production bug,PAYME-237,[CORE DB] Increase sequence value for column VM.VVMK_SYNDMUS.ID (in LT),6/9/23,0.05h,4.18h,,,,,,0.00h,0.93h,17.53h,4.10h,,,,,25316.53h,,
Production bug,PAYME-236,[CORE DB] Outgoing international payments in LV can't be initiated and processed due to exceeded DB field length,6/8/23,0.00h,0.42h,,,,,,0.00h,1.42h,1.28h,0.00h,,,,,25340.48h,,
Production bug,PAYME-235,[iBank] The Confirm button is not active in iBank. scenario 2,6/8/23,0.05h,,,,,,,,,,,,,,,25346.20h,,
,PAYME-234,[iBank] The Confirm button is not active in iBank scenarion2,9/12/23,0.00h,16.85h,,,,,,0.00h,1969.33h,338.85h,0.12h,,,,,23037.85h,,
,PAYME-232,[ibank] change massPaymentMaxEditableSize to 300 for LT and LV,6/29/23,0.00h,0.00h,,0.00h,,,,0.00h,532.78h,0.00h,0.02h,,,,,24837.17h,,
,PAYME-228,[CORE DB] New table for History of Standart Order Agreement (SOA) changes in STAR,6/9/23,239.33h,0.02h,,0.00h,,,,,,,,,,,,25321.93h,,
Production bug,PAYME-301,[iBank] OgnlException source is null for getProperty,8/11/23,308.18h,1458.87h,,,,,,0.00h,28.42h,42.28h,0.10h,,,,,23808.53h,,
,PAYME-222,[CORE DB] update VM.VW_LVMK_ARH view,6/16/23,303.00h,0.00h,,,,,,159.82h,10.33h,24.87h,0.05h,,,,,25151.53h,,
,PAYME-225,(DEV) Service user authentication (MTLS enabling),6/13/23,114.42h,0.00h,,23.27h,,,,0.00h,292.77h,0.00h,20.82h,,,,,25225.98h,,
,PAYME-221,[FP] System crashes,5/25/23,0.18h,,,,,,,,,,,,,,,25680.75h,,
Production bug,PAYME-230,[FP] application crashes after when user tries to make transaction,8/23/23,0.22h,287.05h,,1771.35h,,,,0.00h,120.93h,2.08h,1.65h,,,,,23516.83h,,
,PAYME-220,"[FP] Search and view SEPA pacs.002.001.10 (REJ, ACC)",8/22/23,45.57h,113.02h,,318.97h,,,,1414.32h,,245.88h,19.43h,,,,,23545.90h,,
,PAYME-219,[FP] Search and view SEPA camt.029.001.09 (ANS),9/27/23,26.33h,76.98h,0.43h,19.35h,,,,1769.33h,89.75h,263.47h,778.47h,,,,,22679.07h,,
,PAYME-218,[FP] Search and view SEPA camt.056.001.08 (REC),9/13/23,24.73h,96.32h,,1.62h,,,,1769.35h,,266.28h,529.07h,,,,,23015.87h,,
