Key,Resolution Date,Backlog,To Do,Open,In Progress,AC Test,Code review,Discovery,Delivery,Done,Cancelled
BWEBDEV-7335,,4d 20h 4m,0d 1h 7m,,7d 6h 3m,8d 18h 31m,,,,50d 7h 17m,
BWEBDEV-7333,,0d 21h 28m,0d 0h 1m,,0d 1h 8m,18d 2h 30m,,,,52d 4h 50m,
BWEBDEV-7332,,0d 0h 13m,12d 20h 55m,,0d 1h 11m,13d 0h 53m,,,,45d 6h 58m,
BWEBDEV-7331,,0d 0h 27m,0d 21h 58m,,0d 2h 22m,17d 19h 52m,,,,52d 9h 46m,
BWEBDEV-7330,,0d 1h 25m,1d 3h 51m,,0d 17h 30m,20d 8h 6m,,,,49d 0h 35m,
BWEBDEV-7322,,19d 20h 52m,35d 3h 49m,,1d 19h 15m,15d 8h 16m,,,,,
BWEBDEV-7316,,0d 3h 13m,5d 21h 7m,,0d 1h 28m,29d 20h 22m,,,,36d 8h 57m,
BWEBDEV-7310,,0d 0h 55m,0d 2h 4m,,0d 5h 9m,16d 17h 18m,,,,55d 8h 0m,
BWEBDEV-7309,,1d 21h 1m,0d 0h 48m,,0d 0h 40m,18d 23h 40m,,,,52d 2h 20m,
BWEBDEV-7305,,0d 0h 13m,1d 23h 22m,,0d 19h 18m,15d 1h 55m,,,,55d 5h 52m,
BWEBDEV-7302,,0d 0h 51m,0d 18h 4m,,0d 3h 19m,23d 20h 43m,,,,48d 8h 25m,
BWEBDEV-7301,,0d 0h 51m,0d 0h 9m,,0d 0h 28m,41d 19h 16m,,,,31d 7h 31m,
BWEBDEV-7300,,0d 0h 40m,7d 19h 58m,,0d 0h 6m,22d 3h 22m,,,,43d 5h 4m,
BWEBDEV-7283,,0d 1h 4m,2d 23h 12m,,4d 20h 5m,15d 23h 41m,,,,52d 8h 4m,
BWEBDEV-7279,,0d 23h 33m,2d 22h 19m,,1d 6h 43m,20d 15h 52m,,,,50d 10h 25m,
BWEBDEV-7277,,20d 22h 10m,3d 2h 15m,,20d 23h 34m,31d 3h 34m,,,,0d 4h 13m,
BWEBDEV-7268,,21d 17h 46m,4d 4h 9m,,43d 21h 43m,7d 3h 7m,,,,0d 4h 13m,
BWEBDEV-7256,,22d 1h 36m,0d 0h 1m,,0d 3h 55m,18d 15h 55m,,,,36d 9h 0m,
BWEBDEV-7247,,0d 18h 6m,7d 0h 20m,,0d 5h 17m,18d 17h 30m,,,,51d 6h 45m,
BWEBDEV-7246,,5d 23h 7m,0d 17h 4m,,1d 23h 16m,20d 8h 6m,,,,49d 0h 31m,
BWEBDEV-7236,,0d 0h 58m,0d 18h 22m,,0d 0h 48m,21d 22h 42m,,,,55d 9h 2m,
BWEBDEV-7232,,0d 20h 51m,1d 3h 49m,,33d 20h 7m,0d 6h 20m,,,,42d 2h 40m,
BWEBDEV-7231,,0d 22h 13m,0d 0h 13m,,11d 13h 43m,24d 8h 51m,,,,41d 9h 0m,
BWEBDEV-7227,,5d 6h 12m,0d 19h 7m,,6d 17h 25m,17d 5h 28m,,,,48d 8h 25m,
BWEBDEV-7225,,13d 15h 10m,6d 1h 31m,,0d 23h 48m,8d 0h 58m,,,,50d 6h 28m,
BWEBDEV-7223,,2d 16h 13m,,,0d 4h 10m,24d 22h 22m,,,,51d 6h 43m,
BWEBDEV-7219,,0d 0h 58m,24d 0h 28m,,2d 20h 9m,15d 21h 10m,,,,36d 9h 0m,
BWEBDEV-7207,,0d 20h 51m,1d 3h 4m,,1d 21h 58m,35d 3h 21m,,,,41d 0h 31m,
BWEBDEV-7204,,0d 2h 32m,0d 17h 40m,,6d 5h 24m,20d 19h 52m,,,,52d 6h 43m,
BWEBDEV-7203,,0d 1h 37m,0d 0h 0m,,0d 0h 1m,43d 17h 49m,,,,36d 8h 53m,
BWEBDEV-7192,,2d 13h 13m,0d 1h 25m,,0d 7h 7m,27d 19h 47m,,,,52d 5h 27m,
BWEBDEV-7190,,3d 20h 45m,0d 18h 53m,,0d 1h 55m,46d 23h 37m,,,,31d 8h 42m,
BWEBDEV-7185,,4d 1h 37m,0d 0h 43m,,21d 19h 30m,5d 4h 2m,,,,52d 3h 7m,
BWEBDEV-7184,,3d 20h 35m,6d 10h 40m,,3d 17h 55m,13d 19h 18m,,,,55d 9h 19m,
BWEBDEV-7181,,0d 1h 23m,2d 21h 54m,,0d 0h 18m,43d 22h 7m,,,,36d 8h 47m,
BWEBDEV-7169,,4d 22h 32m,5d 18h 39m,,22d 6h 19m,2d 17h 17m,,,,48d 8h 52m,
BWEBDEV-7157,,0d 0h 10m,0d 0h 1m,,28d 21h 55m,23d 23h 32m,,,,31d 8h 42m,
BWEBDEV-7149,,0d 16h 46m,0d 2h 22m,,4d 17h 55m,59d 2h 22m,,,,20d 8h 52m,
BWEBDEV-7144,,1d 23h 13m,2d 18h 47m,,3d 4h 28m,28d 3h 27m,,,,49d 0h 32m,
BWEBDEV-7131,,0d 1h 58m,0d 16h 37m,,4d 23h 15m,24d 22h 58m,,,,55d 9h 20m,
BWEBDEV-7116,,18d 6h 7m,10d 1h 5m,,2d 18h 57m,20d 21h 38m,,,,34d 7h 42m,
BWEBDEV-7110,,3d 4h 7m,17d 3h 43m,,0d 20h 33m,28d 19h 47m,,,,36d 9h 0m,
BWEBDEV-7108,,1d 19h 13m,0d 21h 43m,,1d 7h 18m,30d 14h 55m,,,,52d 8h 40m,
BWEBDEV-7105,,0d 18h 4m,0d 0h 4m,,0d 0h 7m,49d 21h 50m,,,,36d 9h 6m,
BWEBDEV-7104,,0d 17h 53m,0d 0h 0m,,0d 0h 13m,49d 22h 4m,,,,36d 9h 6m,
BWEBDEV-7102,,6d 15h 49m,0d 2h 32m,,0d 0h 19m,28d 1h 1m,,,,52d 5h 47m,
BWEBDEV-7091,,0d 0h 25m,0d 2h 34m,,0d 0h 12m,79d 20h 28m,,,,7d 3h 26m,
BWEBDEV-7082,,14d 0h 45m,1d 2h 25m,,0d 1h 13m,23d 19h 10m,,,,48d 6h 49m,
BWEBDEV-7058,,0d 1h 37m,0d 1h 46m,,0d 0h 34m,41d 19h 51m,,,,48d 8h 27m,
BWEBDEV-7053,,0d 19h 58m,0d 0h 0m,,0d 0h 22m,39d 0h 25m,,,,52d 5h 31m,
BWEBDEV-7046,,0d 22h 46m,3d 1h 22m,,3d 0h 49m,35d 2h 8m,,,,49d 0h 34m,
BWEBDEV-7045,,6d 0h 58m,0d 0h 31m,,0d 19h 13m,36d 3h 4m,,,,48d 4h 43m,
BWEBDEV-7020,,0d 2h 17m,0d 3h 16m,,0d 18h 46m,81d 21h 50m,,,,9d 8h 30m,
BWEBDEV-7019,,0d 2h 19m,0d 2h 52m,,,82d 17h 15m,,,,9d 8h 15m,
BWEBDEV-7000,,0d 1h 22m,1d 0h 6m,,15d 16h 6m,26d 1h 58m,,,,50d 7h 2m,
BWEBDEV-6997,,2d 2h 1m,0d 21h 0m,,5d 18h 20m,32d 2h 19m,,,,52d 7h 40m,
BWEBDEV-6992,,1d 22h 7m,0d 0h 0m,,0d 2h 34m,38d 21h 28m,,,,52d 8h 9m,
BWEBDEV-6985,,2d 15h 43m,6d 3h 52m,,6d 23h 7m,32d 21h 34m,,,,45d 7h 42m,
BWEBDEV-6964,,0d 0h 34m,0d 5h 10m,,1d 0h 10m,45d 23h 49m,,,,48d 2h 4m,
BWEBDEV-6959,,2d 18h 37m,0d 0h 25m,,4d 4h 13m,48d 18h 10m,,,,41d 9h 7m,
BWEBDEV-6938,,3d 22h 16m,8d 2h 22m,,3d 3h 27m,51d 19h 39m,,,,31d 6h 28m,
BWEBDEV-6915,,2d 4h 31m,0d 0h 1m,,3d 22h 13m,41d 15h 21m,,,,52d 11h 52m,
BWEBDEV-6906,,1d 21h 40m,0d 20h 34m,,0d 5h 40m,87d 23h 34m,,,,9d 2h 4m,
BWEBDEV-6897,,12d 23h 16m,3d 5h 10m,,34d 1h 42m,0d 16h 46m,,,,49d 7h 40m,
BWEBDEV-6893,,16d 23h 38m,,,0d 11h 37m,8d 1h 25m,,,,71d 19h 43m,
BWEBDEV-6890,,0d 21h 58m,1d 19h 16m,,26d 20h 58m,71d 10h 31m,,,,,
BWEBDEV-6864,,16d 2h 52m,27d 0h 47m,,8d 18h 24m,13d 2h 23m,,,,36d 6h 22m,
BWEBDEV-6807,,0d 1h 18m,0d 17h 7m,,0d 0h 55m,57d 0h 5m,,,,50d 7h 20m,
BWEBDEV-6804,,0d 2h 10m,0d 17h 37m,,0d 3h 22m,95d 19h 33m,,,,10d 8h 15m,
BWEBDEV-6639,,5d 3h 52m,13d 20h 34m,,3d 5h 32m,51d 18h 40m,,,,45d 4h 15m,
BWEBDEV-6512,,46d 4h 5m,3d 23h 5m,,3d 1h 16m,36d 17h 0m,,,,36d 8h 49m,
BWEBDEV-6173,,54d 22h 7m,19d 18h 28m,,0d 2h 28m,28d 20h 38m,,,,44d 8h 47m,
BWEBDEV-5845,,75d 1h 1m,1d 2h 16m,,15d 3h 16m,45d 14h 42m,,,,31d 8h 19m,
BWEBDEV-5580,,89d 5h 34m,41d 18h 4m,,0d 1h 3m,1d 21h 32m,,,,50d 9h 7m,0d 2h 7m
BWEBDEV-5562,,0d 1h 6m,,,3d 0h 7m,164d 23h 7m,,,,15d 6h 7m,
BWEBDEV-5100,,100d 2h 13m,0d 18h 6m,,27d 7h 25m,56d 16h 52m,,,,37d 8h 45m,
BWEBDEV-4928,,149d 0h 3m,2d 7h 46m,,16d 22h 38m,17d 17h 31m,,,,48d 9h 54m,
BWEBDEV-4824,,61d 1h 16m,1d 2h 18m,,0d 16h 49m,0d 0h 37m,,,,50d 9h 16m,131d 20h 52m
BWEBDEV-369,1/5/26,0d 2h 49m,,,,,,0d 0h 0m,455d 2h 1m,52d 4h 58m,
BWEBDEV-368,1/5/26,0d 2h 51m,,,,,,0d 0h 0m,455d 2h 0m,52d 5h 1m,
,,2d 10h 21m,1d 5h 53m,8d 8h 31m,1d 18h 17m,10d 8h 0m,0d 0h 32m,0d 0h 0m,455d 2h 0m,26d 15h 20m,45d 23h 9m
