Key,Resolution Date,Backlog,To Do,Open,In Progress,AC Test,Code review,Discovery,Delivery,Done,Cancelled
BWEBDEV-8063,,0d 0h 22m,0d 1h 22m,,0d 1h 52m,14d 22h 49m,,,,1d 4h 37m,
BWEBDEV-8061,,0d 0h 34m,0d 4h 15m,,0d 18h 26m,0d 3h 52m,,,,15d 4h 34m,
BWEBDEV-8059,,0d 1h 34m,0d 0h 0m,,0d 0h 24m,0d 4h 7m,,,,16d 3h 19m,
BWEBDEV-8057,,0d 17h 7m,0d 1h 52m,,6d 0h 52m,0d 22h 45m,,,,9d 7h 25m,
BWEBDEV-8055,,0d 0h 30m,1d 21h 7m,,1d 3h 13m,14d 1h 34m,,,,,
BWEBDEV-8053,,0d 18h 38m,0d 0h 13m,,0d 0h 45m,5d 23h 13m,,,,10d 8h 45m,
BWEBDEV-8052,,0d 20h 30m,1d 0h 34m,,5d 4h 40m,0d 19h 31m,,,,9d 6h 40m,
BWEBDEV-8051,,0d 1h 1m,,,1d 23h 4m,2d 3h 37m,,,,13d 1h 10m,
BWEBDEV-8049,,0d 0h 7m,0d 1h 3m,,0d 0h 1m,6d 19h 0m,,,,10d 8h 43m,
BWEBDEV-8048,,0d 2h 32m,0d 0h 3m,,0d 0h 0m,0d 18h 16m,,,,16d 8h 25m,
BWEBDEV-8047,,7d 23h 37m,0d 3h 45m,,1d 19h 1m,5d 23h 34m,,,,1d 7h 55m,
BWEBDEV-8046,,1d 4h 28m,0d 0h 4m,,2d 19h 19m,3d 0h 25m,,,,10d 5h 58m,
BWEBDEV-8045,,0d 0h 30m,0d 0h 39m,,0d 0h 13m,1d 20h 2m,,,,15d 9h 0m,
BWEBDEV-8044,,1d 4h 43m,0d 18h 4m,,2d 1h 36m,0d 0h 12m,,,,13d 5h 51m,
BWEBDEV-8043,,0d 0h 52m,0d 0h 0m,,0d 1h 34m,0d 1h 57m,,,,17d 2h 23m,
BWEBDEV-8042,,0d 0h 7m,0d 2h 23m,,,0d 0h 24m,,,,17d 4h 31m,
BWEBDEV-8032,,2d 15h 1m,0d 23h 55m,,0d 0h 58m,16d 7h 49m,,,,,
BWEBDEV-8031,,2d 15h 0m,,,1d 2h 52m,0d 3h 43m,,,,16d 2h 38m,
BWEBDEV-8029,,0d 0h 1m,2d 19h 40m,,0d 7h 5m,2d 14h 10m,,,,14d 8h 36m,
BWEBDEV-8027,,2d 17h 58m,0d 0h 0m,,0d 5h 5m,1d 0h 36m,,,,16d 2h 46m,
BWEBDEV-8026,,0d 0h 58m,0d 0h 1m,,2d 22h 22m,15d 19h 34m,,,,1d 7h 41m,
BWEBDEV-8022,,0d 1h 34m,,,0d 0h 1m,13d 1h 33m,,,,7d 0h 58m,
BWEBDEV-8021,,3d 1h 54m,0d 0h 0m,,0d 1h 3m,0d 0h 45m,,,,17d 1h 7m,
BWEBDEV-8020,,0d 1h 10m,2d 19h 37m,,0d 2h 27m,17d 6h 4m,,,,,
BWEBDEV-8018,,0d 1h 49m,0d 0h 1m,,0d 0h 22m,0d 1h 40m,,,,20d 4h 8m,
BWEBDEV-8016,,0d 3h 16m,2d 21h 1m,,0d 0h 58m,0d 4h 15m,,,,17d 3h 53m,
BWEBDEV-8015,,0d 11h 33m,0d 5h 28m,,2d 23h 7m,6d 20h 52m,,,,10d 6h 40m,
BWEBDEV-8014,,7d 18h 46m,0d 0h 0m,,4d 13h 52m,2d 8h 37m,,,,6d 6h 55m,
BWEBDEV-8013,,0d 0h 46m,4d 18h 58m,,0d 0h 42m,16d 4h 26m,,,,,
BWEBDEV-8012,,0d 20h 45m,0d 0h 36m,,2d 19h 10m,0d 3h 13m,,,,17d 5h 19m,
BWEBDEV-8011,,0d 20h 46m,0d 0h 36m,,2d 19h 10m,0d 3h 13m,,,,17d 5h 18m,
BWEBDEV-8010,,0d 1h 11m,4d 16h 37m,,,0d 1h 7m,,,,16d 6h 25m,
BWEBDEV-8009,,0d 21h 16m,0d 0h 36m,,2d 19h 10m,0d 3h 13m,,,,17d 5h 19m,
BWEBDEV-8008,,0d 21h 16m,0d 0h 15m,,2d 19h 31m,0d 3h 13m,,,,17d 5h 19m,
BWEBDEV-8006,,0d 20h 10m,2d 21h 37m,,0d 0h 28m,17d 8h 1m,,,,,
BWEBDEV-8005,,0d 19h 10m,0d 1h 16m,,,20d 6h 16m,,,,,
BWEBDEV-8004,,0d 2h 43m,0d 20h 4m,,3d 4h 25m,1d 22h 25m,,,,15d 1h 16m,
BWEBDEV-8003,,0d 18h 55m,0d 0h 16m,,3d 1h 57m,9d 1h 25m,,,,8d 4h 28m,
